,0_model,0_baseline
Annual return,-0.15136605184589802,-0.15436434749192152
Cumulative returns,-0.15906888246536255,-0.16053077907348778
Annual volatility,0.23084182124794603,0.1806777714583469
Sharpe ratio,-0.5982449588811419,-0.8409029188675825
Calmar ratio,-0.6796266008053712,-0.7411359474152089
Stability,0.5312367740104893,0.6315570114444751
Max drawdown,-0.2227194339752538,-0.2082807452941444
Omega ratio,0.9071842346411768,0.869549887468386
Sortino ratio,-0.819118070046321,-1.1017217732140856
Skew,,
Kurtosis,,
Tail ratio,1.0607027664283315,0.9238955257888203
Daily value at risk,-0.029631351470015943,-0.023366166166617505
