,0_model,0_baseline
Annual return,-0.09681523527838443,-0.15436434749192152
Cumulative returns,-0.10191023349761963,-0.16053077907348778
Annual volatility,0.2566552907773473,0.1806777714583469
Sharpe ratio,-0.2695058860776613,-0.8409029188675825
Calmar ratio,-0.3088691919822729,-0.7411359474152089
Stability,0.28452273306202913,0.6315570114444751
Max drawdown,-0.3134506056011601,-0.2082807452941444
Omega ratio,0.9570706377807712,0.869549887468386
Sortino ratio,-0.35624362501554807,-1.1017217732140856
Skew,,
Kurtosis,,
Tail ratio,0.8946017271423543,0.9238955257888203
Daily value at risk,-0.032610011810902506,-0.023366166166617505
