,0_model,0_baseline
Annual return,-0.20405577770281036,-0.15436434749192152
Cumulative returns,-0.21408402919769287,-0.16053077907348778
Annual volatility,0.24331884330324352,0.1806777714583469
Sharpe ratio,-0.8194214380939954,-0.8409029188675825
Calmar ratio,-0.7528755209706625,-0.7411359474152089
Stability,0.6264712946649912,0.6315570114444751
Max drawdown,-0.2710352136827701,-0.2082807452941444
Omega ratio,0.8768609793480122,0.869549887468386
Sortino ratio,-1.0845312218608887,-1.1017217732140856
Skew,,
Kurtosis,,
Tail ratio,0.8756072404109302,0.9238955257888203
Daily value at risk,-0.03144648595480248,-0.023366166166617505
