,0_model,0_baseline
Annual return,-0.21088932881188927,-0.15436434749192152
Cumulative returns,-0.22120463848114014,-0.16053077907348778
Annual volatility,0.31257532081968337,0.1806777714583469
Sharpe ratio,-0.6041828353527949,-0.8409029188675825
Calmar ratio,-0.7451066161709723,-0.7411359474152089
Stability,0.5336458219735468,0.6315570114444751
Max drawdown,-0.28303242010603563,-0.2082807452941444
Omega ratio,0.9086317317513255,0.869549887468386
Sortino ratio,-0.8313925305091461,-1.1017217732140856
Skew,,
Kurtosis,,
Tail ratio,0.9837133303279645,0.9238955257888203
Daily value at risk,-0.04013020405545831,-0.023366166166617505
