,0_model,0_baseline
Annual return,-0.10743919391456846,-0.15436434749192152
Cumulative returns,-0.11305749416351318,-0.16053077907348778
Annual volatility,0.19572288459423334,0.1806777714583469
Sharpe ratio,-0.48500998499539,-0.8409029188675825
Calmar ratio,-0.5874948059945079,-0.7411359474152089
Stability,0.37007469488611994,0.6315570114444751
Max drawdown,-0.1828768404729911,-0.2082807452941444
Omega ratio,0.9251167204325043,0.869549887468386
Sortino ratio,-0.6535291379595979,-1.1017217732140856
Skew,,
Kurtosis,,
Tail ratio,0.8991907680315898,0.9238955257888203
Daily value at risk,-0.025035462283995003,-0.023366166166617505
