,0_model,0_baseline
Annual return,-0.11253381850713984,-0.15436434749192152
Cumulative returns,-0.1184004545211792,-0.16053077907348778
Annual volatility,0.1992929943486386,0.1806777714583469
Sharpe ratio,-0.5016177187035779,-0.8409029188675825
Calmar ratio,-0.5826953705510218,-0.7411359474152089
Stability,0.3467922729612565,0.6315570114444751
Max drawdown,-0.19312633014524042,-0.2082807452941444
Omega ratio,0.9212413709090858,0.869549887468386
Sortino ratio,-0.6793889632213959,-1.1017217732140856
Skew,,
Kurtosis,,
Tail ratio,0.9742796992347408,0.9238955257888203
Daily value at risk,-0.025505259167402983,-0.023366166166617505
