train/actor_loss,time/time_elapsed,train/ent_coef_loss,train/ent_coef,time/total_timesteps,train/critic_loss,train/learning_rate,time/episodes,time/fps,train/n_updates
-484.3874816894531,440,-51.54844665527344,0.3547202944755554,11376,5.588134288787842,0.0001,4,25,10375
-442.8173828125,884,-105.63151550292969,0.11404354125261307,22752,14.419107437133789,0.0001,8,25,21751
-286.6488342285156,1308,-150.96487426757812,0.03665551170706749,34128,251.09152221679688,0.0001,12,26,33127
-147.30274963378906,1746,-191.23703002929688,0.0118239875882864,45504,3.5055999755859375,0.0001,16,26,44503
