,0_model,0_baseline
Annual return,0.28845656549267273,0.06645528453394434
Cumulative returns,1.1627881526947021,0.21538821275864328
Annual volatility,0.2284156900945693,0.14807955819028487
Sharpe ratio,1.2258744324688635,0.5091431994961778
Calmar ratio,0.9202616308220178,0.30288445703587075
Stability,0.6762389992117827,0.4071382129181897
Max drawdown,-0.3134506056011601,-0.2194080382476477
Omega ratio,1.22266074845702,1.0908009926555746
Sortino ratio,1.7887905402935536,0.7218568320909873
Skew,,
Kurtosis,,
Tail ratio,1.0616548511854274,1.0271345051583645
Daily value at risk,-0.027666525333188474,-0.018357089375590302
