,account_value,date
0,101593.07,2020-09-14
1,99913.05,2020-09-15
2,98943.375,2020-09-16
3,97283.03,2020-09-17
4,100876.64,2020-09-18
5,98291.984,2020-09-21
6,100174.45,2020-09-22
7,101796.32,2020-09-23
8,102664.16,2020-09-24
9,99732.375,2020-09-25
10,100257.72,2020-09-28
11,100589.66,2020-09-29
12,100202.125,2020-09-30
13,101745.25,2020-10-01
14,99641.28,2020-10-02
15,102178.39,2020-10-05
16,102286.016,2020-10-06
17,100796.66,2020-10-07
18,101336.61,2020-10-08
19,99391.18,2020-10-09
20,100215.83,2020-10-12
21,100522.89,2020-10-13
22,100632.25,2020-10-14
23,99842.15,2020-10-15
24,100939.95,2020-10-16
25,99878.95,2020-10-19
26,102238.766,2020-10-20
27,101224.56,2020-10-21
28,98069.67,2020-10-22
29,99442.695,2020-10-23
30,97514.484,2020-10-26
31,102236.16,2020-10-27
32,100773.69,2020-10-28
33,102538.5,2020-10-29
34,103495.44,2020-10-30
35,100436.11,2020-11-02
36,103627.53,2020-11-03
37,101271.836,2020-11-04
38,107272.06,2020-11-05
39,102642.04,2020-11-06
40,101742.69,2020-11-09
41,100258.586,2020-11-10
42,104920.734,2020-11-11
43,104887.42,2020-11-12
44,102007.31,2020-11-13
45,100973.45,2020-11-16
46,102559.92,2020-11-17
47,101637.46,2020-11-18
48,103795.74,2020-11-19
49,104641.625,2020-11-20
50,101767.05,2020-11-23
51,102572.58,2020-11-24
52,101595.61,2020-11-25
53,103696.086,2020-11-27
54,103622.3,2020-11-30
55,103416.7,2020-12-01
56,104116.45,2020-12-02
57,102053.64,2020-12-03
58,102482.49,2020-12-04
59,102119.234,2020-12-07
60,103190.336,2020-12-08
61,101857.78,2020-12-09
62,102777.4,2020-12-10
63,104450.15,2020-12-11
64,102468.984,2020-12-14
65,102925.234,2020-12-15
66,102443.195,2020-12-16
67,102181.09,2020-12-17
68,102070.55,2020-12-18
69,104044.64,2020-12-21
70,102768.71,2020-12-22
71,103351.07,2020-12-23
72,102418.33,2020-12-24
73,103970.06,2020-12-28
74,103507.51,2020-12-29
75,101939.58,2020-12-30
76,104883.59,2020-12-31
77,105154.586,2021-01-04
78,104219.25,2021-01-05
79,103364.5,2021-01-06
80,102814.945,2021-01-07
81,104416.016,2021-01-08
82,103236.766,2021-01-11
83,105051.34,2021-01-12
84,102277.56,2021-01-13
85,104683.95,2021-01-14
86,103670.375,2021-01-15
87,102788.44,2021-01-19
88,103470.22,2021-01-20
89,102663.55,2021-01-21
90,103596.44,2021-01-22
91,102224.96,2021-01-25
92,105165.28,2021-01-26
93,102764.45,2021-01-27
94,105423.02,2021-01-28
95,106026.766,2021-01-29
96,104607.97,2021-02-01
97,105690.125,2021-02-02
98,104672.11,2021-02-03
99,106413.48,2021-02-04
100,104846.14,2021-02-05
101,104765.234,2021-02-08
102,105178.93,2021-02-09
103,105209.5,2021-02-10
104,105087.75,2021-02-11
105,104903.33,2021-02-12
106,103681.25,2021-02-16
107,106240.125,2021-02-17
108,104825.51,2021-02-18
109,104977.875,2021-02-19
110,107931.45,2021-02-22
111,103371.39,2021-02-23
112,104923.42,2021-02-24
113,108541.97,2021-02-25
114,105161.29,2021-02-26
115,105347.08,2021-03-01
116,103683.984,2021-03-02
117,108090.914,2021-03-03
118,107139.05,2021-03-04
119,107452.484,2021-03-05
120,107923.91,2021-03-08
121,107391.57,2021-03-09
122,107728.61,2021-03-10
123,107897.86,2021-03-11
124,105802.07,2021-03-12
125,107889.15,2021-03-15
126,104254.91,2021-03-16
127,106767.47,2021-03-17
128,106331.445,2021-03-18
129,103706.7,2021-03-19
130,105557.11,2021-03-22
131,108025.305,2021-03-23
132,108088.67,2021-03-24
133,106460.06,2021-03-25
134,107495.195,2021-03-26
135,107315.17,2021-03-29
136,108079.16,2021-03-30
137,107998.945,2021-03-31
138,106837.17,2021-04-01
139,106051.91,2021-04-05
140,107573.164,2021-04-06
141,106758.59,2021-04-07
142,106977.94,2021-04-08
143,107389.05,2021-04-09
144,107336.0,2021-04-12
145,107690.586,2021-04-13
146,107662.75,2021-04-14
147,106812.55,2021-04-15
148,105350.75,2021-04-16
149,109528.71,2021-04-19
150,106036.92,2021-04-20
151,108591.86,2021-04-21
152,108277.05,2021-04-22
153,107697.914,2021-04-23
154,107485.234,2021-04-26
155,107948.88,2021-04-27
156,106483.69,2021-04-28
157,107993.48,2021-04-29
158,106853.47,2021-04-30
159,107280.7,2021-05-03
160,109054.27,2021-05-04
161,109238.1,2021-05-05
162,106956.875,2021-05-06
163,107494.66,2021-05-07
164,105797.8,2021-05-10
165,109352.55,2021-05-11
166,110502.34,2021-05-12
167,108337.484,2021-05-13
168,107143.25,2021-05-14
169,107678.86,2021-05-17
170,109289.29,2021-05-18
171,108309.875,2021-05-19
172,109389.45,2021-05-20
173,107872.08,2021-05-21
174,109273.516,2021-05-24
175,109350.89,2021-05-25
176,108418.63,2021-05-26
177,109295.61,2021-05-27
178,108952.15,2021-05-28
179,108267.81,2021-06-01
180,109105.69,2021-06-02
181,108419.016,2021-06-03
182,109161.0,2021-06-04
183,110125.66,2021-06-07
184,108499.66,2021-06-08
185,109674.11,2021-06-09
186,108876.11,2021-06-10
187,109340.61,2021-06-11
188,109343.2,2021-06-14
189,108606.64,2021-06-15
190,108164.82,2021-06-16
191,110990.88,2021-06-17
192,109648.266,2021-06-18
193,109638.625,2021-06-21
194,111087.234,2021-06-22
195,110071.914,2021-06-23
196,108971.64,2021-06-24
197,109161.89,2021-06-25
198,110714.984,2021-06-28
199,109970.445,2021-06-29
200,109590.94,2021-06-30
201,108982.03,2021-07-01
202,109575.3,2021-07-02
203,108994.875,2021-07-06
204,112166.625,2021-07-07
205,110038.37,2021-07-08
206,108694.14,2021-07-09
207,109334.75,2021-07-12
208,108960.11,2021-07-13
209,108507.16,2021-07-14
210,108105.44,2021-07-15
211,112394.07,2021-07-16
212,112128.09,2021-07-19
213,109561.33,2021-07-20
214,110469.4,2021-07-21
215,112260.99,2021-07-22
216,109292.17,2021-07-23
217,111528.01,2021-07-26
218,110966.06,2021-07-27
219,110088.805,2021-07-28
220,110028.82,2021-07-29
221,111469.22,2021-07-30
222,109631.38,2021-08-02
223,112383.92,2021-08-03
224,111110.91,2021-08-04
225,110995.164,2021-08-05
226,111399.86,2021-08-06
227,112202.89,2021-08-09
228,110344.84,2021-08-10
229,110899.42,2021-08-11
230,109745.68,2021-08-12
231,109930.805,2021-08-13
232,110098.34,2021-08-16
233,109526.234,2021-08-17
234,111902.25,2021-08-18
235,112996.516,2021-08-19
236,112227.39,2021-08-20
237,111875.04,2021-08-23
238,110208.82,2021-08-24
239,112696.875,2021-08-25
240,110635.36,2021-08-26
241,111896.67,2021-08-27
242,111206.09,2021-08-30
243,111964.16,2021-08-31
244,110999.586,2021-09-01
245,110516.875,2021-09-02
246,110171.734,2021-09-03
247,111306.234,2021-09-07
248,110565.234,2021-09-08
249,112353.75,2021-09-09
250,110183.11,2021-09-10
251,112512.56,2021-09-13
252,111261.94,2021-09-14
253,110721.53,2021-09-15
254,109578.59,2021-09-16
255,111104.79,2021-09-17
256,113353.23,2021-09-20
257,113766.08,2021-09-21
258,111828.336,2021-09-22
259,112618.914,2021-09-23
260,110155.77,2021-09-24
261,111637.5,2021-09-27
262,110671.74,2021-09-28
263,110671.74,2021-09-29
264,110671.74,2021-09-30
265,110671.74,2021-09-30
