,dates,weights
18,2020-10-08,"[0.02248459 0.05573599 0.05287168 0.02235476 0.03772316 0.02736547
 0.05741723 0.0291093  0.03547717 0.02231056 0.04822727 0.02226133
 0.07608984 0.0249249  0.05249586 0.04793162 0.02410567 0.05098193
 0.03191726 0.0602075  0.02173987 0.02457629 0.02455365 0.05666484
 0.04917328 0.02129897]"
19,2020-10-09,"[0.02365608 0.05841592 0.05353496 0.02270298 0.03868371 0.02685673
 0.06272675 0.02998656 0.0364926  0.02279743 0.04845544 0.02217406
 0.04949267 0.02570564 0.05339954 0.05008097 0.02462149 0.05382187
 0.03382108 0.05564883 0.02218411 0.02504772 0.02507691 0.05752108
 0.05496546 0.02212934]"
20,2020-10-12,"[0.02380057 0.0573517  0.05395779 0.02311107 0.03884985 0.02812969
 0.06040044 0.03058641 0.03727143 0.02191681 0.04794141 0.02212225
 0.05486184 0.02669776 0.05504311 0.05008703 0.02555577 0.05433416
 0.03257824 0.04504481 0.02323758 0.02586049 0.02547062 0.05857036
 0.05399758 0.02322124]"
21,2020-10-13,"[0.02452078 0.057097   0.05622366 0.02305115 0.03786191 0.02798976
 0.06124945 0.03022048 0.03721307 0.02291945 0.04783481 0.02245805
 0.05796612 0.02615034 0.05483228 0.05123638 0.02510573 0.05220635
 0.02965809 0.04675085 0.022003   0.02637906 0.02557956 0.05828583
 0.05249803 0.02270885]"
22,2020-10-14,"[0.02365038 0.05889191 0.05508677 0.02296147 0.03845762 0.02807095
 0.05823147 0.03064636 0.03659634 0.02353411 0.04835704 0.02323891
 0.05726156 0.0258705  0.05382142 0.04976172 0.02539556 0.05498039
 0.03257615 0.04853234 0.02240507 0.02512402 0.02490362 0.05729007
 0.05174051 0.02261373]"
23,2020-10-15,"[0.02326204 0.05666647 0.05414527 0.02267777 0.03768039 0.02760954
 0.05988904 0.02978429 0.03603429 0.02320838 0.04685076 0.02493598
 0.0616651  0.02587031 0.05303793 0.04999874 0.02474463 0.052559
 0.03212886 0.05341504 0.02157648 0.02574298 0.02611598 0.05770689
 0.05012863 0.02256521]"
24,2020-10-16,"[0.02360977 0.05921799 0.05243501 0.02491898 0.03905818 0.0278258
 0.0592859  0.03018051 0.03767182 0.02176479 0.04641807 0.02242773
 0.0533523  0.02617765 0.05281365 0.04972876 0.02475573 0.0548573
 0.03259545 0.05466426 0.02260539 0.0270777  0.02471627 0.05692174
 0.05282268 0.0220966 ]"
25,2020-10-19,"[0.0237169  0.05885725 0.05368596 0.02347421 0.03893407 0.02814925
 0.05913311 0.02956197 0.0370215  0.02190877 0.04807913 0.02275088
 0.0581986  0.02559523 0.05345588 0.04903347 0.02462314 0.05433241
 0.03354384 0.05050064 0.02302189 0.02549743 0.024445   0.05876188
 0.05149024 0.02222739]"
26,2020-10-20,"[0.02346028 0.05886048 0.05470997 0.02226916 0.03887351 0.0274164
 0.05838344 0.02918793 0.03776124 0.02280601 0.0488185  0.02392805
 0.05488767 0.02568081 0.05331338 0.04981647 0.02448741 0.05337576
 0.0338307  0.05155721 0.02275961 0.02617214 0.02521875 0.05777514
 0.05131311 0.02333685]"
27,2020-10-21,"[0.02371546 0.058157   0.05433467 0.02222714 0.03863882 0.02735321
 0.06223624 0.02962007 0.03616926 0.02196566 0.04941409 0.0226921
 0.05664909 0.02582617 0.05363261 0.05051515 0.02452676 0.055236
 0.03245914 0.05082816 0.02224055 0.02485362 0.02521689 0.05720583
 0.05146923 0.02281702]"
