,0
Annual return,0.2735195113407829
Cumulative returns,0.3790841969732779
Annual volatility,0.1392478969872887
Sharpe ratio,1.8118929274204578
Calmar ratio,3.0626624123359534
Stability,0.9186508192709723
Max drawdown,-0.08930775727650771
Omega ratio,1.3518506329857995
Sortino ratio,2.68471999856388
Skew,
Kurtosis,
Tail ratio,1.0518559238761165
Daily value at risk,-0.016542386478158068
