,0
Annual return,0.32883014599464855
Cumulative returns,0.4609184124676806
Annual volatility,0.1589784710494023
Sharpe ratio,1.8737747288795603
Calmar ratio,3.2654279135980113
Stability,0.9282514550610026
Max drawdown,-0.10070047623018176
Omega ratio,1.3714040142512653
Sortino ratio,2.94542600432114
Skew,
Kurtosis,
Tail ratio,1.2742945344630472
Daily value at risk,-0.01884730213107826
