,0
Annual return,0.299203676506796
Cumulative returns,0.4176520639100789
Annual volatility,0.13683097650341178
Sharpe ratio,1.9879520591761297
Calmar ratio,2.998295839090153
Stability,0.9405822048455937
Max drawdown,-0.09979124561557301
Omega ratio,1.3936006823391607
Sortino ratio,2.9699227138255258
Skew,
Kurtosis,
Tail ratio,1.0003439183878169
Daily value at risk,-0.016159664302534765
