time/total_timesteps,time/fps,train/critic_loss,train/learning_rate,time/episodes,train/actor_loss,train/ent_coef,train/n_updates,time/time_elapsed,train/ent_coef_loss
11376,36,0.3828771412372589,0.0001,4,-416.7474060058594,0.3546317517757416,10375,315,-44.85614776611328
22752,35,2.959914207458496,0.0001,8,-378.1852111816406,0.11386294662952423,21751,635,-93.1618881225586
34128,35,7.890927791595459,0.0001,12,-259.3387451171875,0.03664993494749069,33127,957,-136.02880859375
45504,35,3.795051336288452,0.0001,16,-161.21798706054688,0.011958278715610504,44503,1278,-141.6405029296875
56880,35,10.497464179992676,0.0001,20,-93.85325622558594,0.003859908552840352,55879,1597,-173.3491973876953
68256,35,0.4735995829105377,0.0001,24,-53.36500930786133,0.0012887417105957866,67255,1916,-179.09661865234375
79632,35,0.04064064100384712,0.0001,28,-26.87180519104004,0.00044920010259374976,78631,2233,-117.35954284667969
91008,35,0.030931444838643074,0.0001,32,-13.335271835327148,0.0001782415492925793,90007,2543,-118.7224349975586
