train/actor_loss,train/learning_rate,time/time_elapsed,time/fps,time/episodes,train/critic_loss,train/ent_coef,time/total_timesteps,train/n_updates,train/ent_coef_loss
-2866.25537109375,0.0001,2018,5,4,17.878768920898438,0.3554888367652893,11376,10375,-295.88177490234375
-2618.11181640625,0.0001,4058,5,8,18.194583892822266,0.11455058306455612,22752,21751,-594.6978759765625
