train/ent_coef_loss,train/actor_loss,train/ent_coef,time/episodes,time/time_elapsed,time/total_timesteps,train/critic_loss,train/n_updates,train/learning_rate,time/fps
-11.989381790161133,-111.70864868164062,0.3616836369037628,4,150,11172,0.01842987723648548,10171,0.0001,74
-25.070695877075195,-102.98817443847656,0.118374764919281,8,310,22344,0.018718227744102478,21343,0.0001,72
-37.89097595214844,-70.51336669921875,0.03876787796616554,12,466,33516,0.029706010594964027,32515,0.0001,71
-50.97929763793945,-43.597251892089844,0.012686824426054955,16,623,44688,6.952095985412598,43687,0.0001,71
-61.27875900268555,-25.82412338256836,0.004174505826085806,20,781,55860,0.012679062783718109,54859,0.0001,71
-69.54983520507812,-14.900772094726562,0.0013756505213677883,24,941,67032,0.01702793687582016,66031,0.0001,71
-72.32328796386719,-8.460121154785156,0.00045401405077427626,28,1100,78204,0.007527529262006283,77203,0.0001,71
-65.10200500488281,-4.70572566986084,0.0001516241900390014,32,1256,89376,0.002526735421270132,88375,0.0001,71
