train/ent_coef_loss,time/episodes,time/time_elapsed,train/n_updates,time/total_timesteps,train/critic_loss,train/actor_loss,time/fps,train/ent_coef,train/learning_rate
-42.878746032714844,4,311,10375,11376,4103.69189453125,398.10986328125,36,2.821869373321533,0.0001
-89.73360443115234,8,532,21751,22752,12404.1669921875,10817.6240234375,42,8.802608489990234,0.0001
-136.81048583984375,12,748,33127,34128,30847.4375,39919.3671875,45,27.443655014038086,0.0001
-183.94468688964844,16,959,44503,45504,157961.640625,126649.828125,47,85.63043975830078,0.0001
-230.46990966796875,20,1170,55879,56880,1735298.5,395297.375,48,267.5177001953125,0.0001
-277.66522216796875,24,1381,67255,68256,8328398.0,1240347.5,49,835.7509155273438,0.0001
-324.8567199707031,28,1594,78631,79632,76568256.0,3855916.0,49,2610.966064453125,0.0001
-371.699951171875,32,1811,90007,91008,2503444480.0,12044443.0,50,8156.90771484375,0.0001
