,dates,weights
15,2009-04-07,"[0.04071425 0.01754568 0.01621724 0.04135785 0.01612236 0.03764279
 0.03958259 0.04092436 0.0173498  0.03848252 0.03982384 0.04306384
 0.04091971 0.01464873 0.03987784 0.04193302 0.0351564  0.01602284
 0.03021884 0.04077839 0.03839416 0.01901018 0.03896999 0.01573167
 0.01635047 0.03637486 0.03843997 0.03911397 0.03921727 0.01607365
 0.03764927 0.01629158]"
16,2009-04-08,"[0.03849609 0.01756112 0.01686037 0.04100776 0.01651195 0.03799308
 0.04212929 0.03959827 0.01740614 0.03882147 0.03855878 0.04047669
 0.04108923 0.01573016 0.0397387  0.04217935 0.03323598 0.0158061
 0.03120519 0.04106583 0.04392536 0.01857959 0.03837812 0.01720924
 0.01600481 0.03591472 0.03641192 0.03910393 0.04140781 0.01569477
 0.03538826 0.01650997]"
17,2009-04-09,"[0.03719587 0.01779163 0.01554381 0.04183615 0.01618713 0.04020737
 0.04120456 0.03864865 0.0173266  0.04149457 0.03899458 0.04289522
 0.04020569 0.0165871  0.0376617  0.04129329 0.03114948 0.01814283
 0.03087909 0.04077678 0.04324858 0.01826642 0.03883001 0.0152857
 0.01645553 0.03549304 0.03669314 0.03880518 0.0442016  0.01552972
 0.03532705 0.01584191]"
18,2009-04-13,"[0.0391574  0.01712134 0.01548089 0.03937954 0.01716166 0.03924473
 0.04220301 0.03953178 0.01784747 0.04049012 0.03793988 0.04365478
 0.04090207 0.01634195 0.03877208 0.0403983  0.03418024 0.01648342
 0.03090813 0.04161187 0.03954579 0.01899483 0.03879039 0.01557363
 0.01709516 0.03554841 0.0374772  0.03963312 0.04167628 0.01556288
 0.03579989 0.0154918 ]"
19,2009-04-14,"[0.03997628 0.01703429 0.01650698 0.04224052 0.01658618 0.03874717
 0.04221432 0.04025335 0.01807977 0.04032583 0.04044675 0.03765343
 0.04044774 0.01595237 0.04000184 0.04135245 0.03299198 0.01489662
 0.03093629 0.04136826 0.0421852  0.01899454 0.03931959 0.01648319
 0.01573846 0.03658247 0.03765502 0.04012435 0.03695181 0.01582352
 0.03597484 0.01615465]"
20,2009-04-15,"[0.03853872 0.01753573 0.01498344 0.04141271 0.01594138 0.0382504
 0.04042912 0.03968519 0.01670259 0.03920577 0.03900914 0.04319343
 0.04027865 0.01659971 0.03866198 0.04116276 0.03488928 0.01670478
 0.03062383 0.03991988 0.04136504 0.01857236 0.04049603 0.01585285
 0.01673711 0.03737142 0.03667339 0.03913392 0.04315137 0.01579246
 0.03517877 0.01594678]"
21,2009-04-16,"[0.03797942 0.01720045 0.01609956 0.04104685 0.01638789 0.0374584
 0.04124109 0.03855101 0.01737926 0.0419922  0.03873362 0.04035707
 0.0408548  0.01602855 0.03925533 0.04220845 0.03298137 0.01578072
 0.03264828 0.04134309 0.04229602 0.01848193 0.04218787 0.01571844
 0.01588647 0.03675829 0.03700716 0.03974618 0.03864861 0.01547995
 0.03612587 0.01613585]"
22,2009-04-17,"[0.03887478 0.01722284 0.01579786 0.04100602 0.01664878 0.0377235
 0.04214685 0.03994867 0.01762974 0.04127377 0.04020359 0.041067
 0.04344296 0.01608638 0.03909364 0.04121354 0.03423619 0.01579725
 0.03024599 0.04153986 0.04074897 0.01859527 0.03916994 0.01525555
 0.01672679 0.03660375 0.03710945 0.03828779 0.03996801 0.01540878
 0.03491631 0.01601023]"
23,2009-04-20,"[0.04096739 0.01712962 0.01556795 0.04125913 0.01622476 0.03801183
 0.04296917 0.04071113 0.01689006 0.03817065 0.03884046 0.04152476
 0.04184473 0.0161862  0.04092519 0.04214088 0.03417735 0.01489266
 0.03023439 0.0403947  0.03839322 0.01901801 0.03775058 0.01665015
 0.01723898 0.03667555 0.03771693 0.04013946 0.03847263 0.01580208
 0.03733313 0.01574629]"
24,2009-04-21,"[0.03782958 0.01724946 0.01572113 0.04023233 0.01612531 0.03829395
 0.04257287 0.03948141 0.01794691 0.04136972 0.03877152 0.04210779
 0.03870385 0.01577389 0.03882237 0.0412994  0.03262443 0.01690578
 0.03078544 0.04069043 0.04465133 0.01826367 0.038888   0.01543657
 0.01614787 0.03590188 0.03805931 0.03931305 0.04410433 0.01508845
 0.03496816 0.01586988]"
25,2009-04-22,"[0.03914313 0.01673415 0.01588874 0.04217787 0.01662156 0.03977391
 0.04050765 0.03951968 0.01748994 0.04026876 0.03799222 0.0416857
 0.04300837 0.01648215 0.03952534 0.04103892 0.03253954 0.01566279
 0.03008716 0.04274408 0.03849347 0.01855046 0.04205712 0.01645549
 0.01635282 0.0369095  0.03799736 0.03987938 0.03766523 0.01574353
 0.0346831  0.0163208 ]"
26,2009-04-23,"[0.03886293 0.0166868  0.01687884 0.04184647 0.01653424 0.03819908
 0.03955917 0.04105032 0.01795916 0.03801498 0.03998215 0.04214467
 0.04036565 0.01594299 0.03871964 0.04100894 0.03540752 0.01651428
 0.02993965 0.04593676 0.0387405  0.0187734  0.03816434 0.01524958
 0.01641763 0.03652125 0.03782764 0.03935115 0.04148451 0.01554514
 0.03470666 0.01566396]"
27,2009-04-24,"[0.0385253  0.01793693 0.01569494 0.04164372 0.01645026 0.0392442
 0.04225527 0.04023481 0.01782364 0.03929691 0.04037795 0.04048548
 0.0410302  0.01571793 0.03829811 0.04244127 0.03307481 0.0158057
 0.02981007 0.04110229 0.04353667 0.01847301 0.03820699 0.01574057
 0.01665212 0.03702121 0.03725945 0.03932469 0.03995942 0.01598643
 0.03528915 0.01530053]"
28,2009-04-27,"[0.03979857 0.01789108 0.0161181  0.04295651 0.01715641 0.03883963
 0.04199797 0.04016493 0.01739454 0.03799702 0.03933245 0.04220223
 0.04127683 0.01603217 0.04004136 0.04135336 0.03381086 0.01595095
 0.03127788 0.03976516 0.03926669 0.01876587 0.0383123  0.01543857
 0.01617521 0.03785564 0.03739953 0.04143055 0.03519843 0.01630262
 0.03574491 0.01675164]"
29,2009-04-28,"[0.03913378 0.01784129 0.01576243 0.04079322 0.01606299 0.03776237
 0.04178426 0.04057362 0.01750313 0.03901242 0.03926779 0.04156418
 0.04157752 0.01635352 0.04020936 0.04202061 0.03427595 0.01598417
 0.03032126 0.04039712 0.04313414 0.01894902 0.03844757 0.0153057
 0.01575386 0.0379412  0.03784562 0.0389268  0.03709802 0.01639847
 0.03646566 0.01553294]"
30,2009-04-29,"[0.03749139 0.01785159 0.015822   0.04144692 0.01608074 0.0378736
 0.04045629 0.03944843 0.01726842 0.03928673 0.038343   0.04205329
 0.04093707 0.01617627 0.03854832 0.04042802 0.03282761 0.01610223
 0.03070607 0.04342457 0.04770762 0.01811804 0.03995406 0.01557243
 0.01635057 0.03656486 0.03724826 0.03949068 0.0397068  0.01534794
 0.03535488 0.01601127]"
31,2009-04-30,"[0.03871192 0.01727438 0.0163035  0.0404777  0.01653562 0.04018562
 0.04111188 0.03891569 0.0156601  0.0507     0.03790139 0.04160573
 0.03791254 0.01568492 0.03868702 0.04092357 0.0329484  0.01511508
 0.03128714 0.04202243 0.04117392 0.01817372 0.03918552 0.01586658
 0.01636456 0.03551513 0.03682209 0.04080063 0.0379553  0.01579651
 0.03550264 0.01687877]"
