,dates,weights
18,2009-04-13,"[0.0567723  0.03895982 0.04415328 0.03908484 0.02634649 0.03649738
 0.03063704 0.0335237  0.02433435 0.03855862 0.06049304 0.02504846
 0.03008163 0.04437517 0.05812294 0.02367624 0.02540958 0.02557045
 0.06778513 0.05069482 0.02512662 0.02843205 0.03231475 0.02630477
 0.05705743 0.05063913]"
19,2009-04-14,"[0.05928347 0.03619953 0.04781996 0.04005048 0.02567056 0.03826642
 0.03027846 0.03309529 0.02354402 0.03800758 0.06319954 0.02511383
 0.0307573  0.04413503 0.05573926 0.02462586 0.02340427 0.02289369
 0.06093239 0.0519691  0.02464753 0.0306293  0.03353324 0.02771423
 0.05604008 0.05244956]"
20,2009-04-15,"[0.05668728 0.04082306 0.0442505  0.0395662  0.02845599 0.03756832
 0.02946596 0.0327015  0.02435827 0.03805117 0.05799948 0.0275197
 0.03055018 0.04658212 0.05322516 0.02433864 0.02521641 0.02476014
 0.06041406 0.05089485 0.02546143 0.0300077  0.03356242 0.0267759
 0.06125529 0.04950827]"
21,2009-04-16,"[0.05599303 0.03781859 0.04587732 0.04158647 0.02685638 0.03830845
 0.02922814 0.03327003 0.02410772 0.03917002 0.0604359  0.0296525
 0.02773381 0.04686072 0.05459537 0.0242743  0.02549094 0.02381326
 0.0632022  0.05205639 0.02415494 0.02887147 0.03080539 0.0274657
 0.05951181 0.04885913]"
22,2009-04-17,"[0.05677136 0.03880098 0.04645632 0.04048797 0.0256607  0.03830459
 0.03057921 0.03360226 0.02472073 0.0391145  0.05741217 0.02640364
 0.02931754 0.04508451 0.05393492 0.02402031 0.02369886 0.02663924
 0.06461835 0.05150552 0.02479929 0.02922693 0.03299178 0.02744274
 0.06068598 0.04771964]"
23,2009-04-20,"[0.06156024 0.0364117  0.04753859 0.04313791 0.02370881 0.03648886
 0.03039434 0.03346305 0.02189362 0.03899012 0.06100098 0.0240723
 0.03226144 0.04892294 0.05607469 0.0252664  0.02549221 0.02383267
 0.05655783 0.05016885 0.0242373  0.03040768 0.0320833  0.02751078
 0.05940093 0.04912252]"
24,2009-04-21,"[0.05560744 0.04258672 0.04014908 0.03869165 0.0265617  0.03956904
 0.0315196  0.03344391 0.02436556 0.03742598 0.06028565 0.02761815
 0.03104136 0.04569753 0.05421941 0.02390653 0.0257954  0.02424808
 0.06209045 0.05054343 0.02360336 0.02972463 0.03210235 0.03019125
 0.05945328 0.04955844]"
25,2009-04-22,"[0.05678181 0.03884789 0.04620247 0.04063701 0.0245664  0.03598376
 0.02922979 0.03291276 0.0237425  0.03960001 0.06076811 0.02408073
 0.03026862 0.04532983 0.05536445 0.02418503 0.02558815 0.02320928
 0.0648918  0.04984482 0.02379513 0.02896603 0.03204986 0.02927892
 0.06052747 0.05334739]"
26,2009-04-23,"[0.05564266 0.04018008 0.04132606 0.04212739 0.02782631 0.04148168
 0.02918272 0.03235635 0.02417276 0.03652679 0.05852528 0.02589855
 0.03023624 0.04577291 0.0534896  0.02371816 0.02384594 0.02492244
 0.07191502 0.04868664 0.02519315 0.02909949 0.03058982 0.02567918
 0.06123476 0.05037012]"
27,2009-04-24,"[0.05532701 0.03659227 0.04645686 0.03752104 0.02603361 0.03934482
 0.02912869 0.03366674 0.02398984 0.03654201 0.06248835 0.02467048
 0.03021553 0.0492091  0.0570286  0.02424352 0.02589549 0.0246298
 0.06231115 0.05075642 0.0241564  0.02927948 0.03135877 0.02650598
 0.06109145 0.05155662]"
28,2009-04-27,"[0.0601091  0.03258388 0.04636692 0.04226882 0.02586167 0.03967431
 0.03321233 0.0330485  0.02483596 0.03836941 0.06089136 0.02491565
 0.03113022 0.04886043 0.05860869 0.02558398 0.02499739 0.02483412
 0.05390586 0.05058252 0.02400269 0.03044566 0.03344756 0.02795905
 0.05456077 0.04894322]"
29,2009-04-28,"[0.05746935 0.03618724 0.04509175 0.03932764 0.02597149 0.03799523
 0.03066114 0.03349761 0.02271427 0.0384688  0.05866181 0.02578081
 0.02976109 0.04654756 0.0552776  0.02477635 0.02482407 0.02390463
 0.06362674 0.05221857 0.02431514 0.02983234 0.03556503 0.02883566
 0.06098083 0.0477073 ]"
30,2009-04-29,"[0.05533067 0.03770992 0.0424436  0.04065283 0.02838102 0.03806905
 0.03049547 0.03331184 0.02358615 0.03592691 0.06052249 0.0259064
 0.02985248 0.04635879 0.05764471 0.02387845 0.02589274 0.02632344
 0.06646189 0.04951485 0.02401137 0.02884283 0.03145421 0.02712584
 0.0602541  0.05004788]"
31,2009-04-30,"[0.05699809 0.03551196 0.04432744 0.0390229  0.02626339 0.03602017
 0.02954686 0.03442696 0.02278381 0.03942144 0.05865443 0.02490764
 0.0303934  0.05076972 0.05628784 0.02450473 0.02600291 0.02731759
 0.06422491 0.05299395 0.02579653 0.02901523 0.03145045 0.02715546
 0.05588113 0.05032106]"
32,2009-05-01,"[0.05703861 0.03958423 0.0427603  0.04214911 0.02598853 0.03909565
 0.03181822 0.0330719  0.02396373 0.03690922 0.06218363 0.02609379
 0.02951941 0.04621112 0.05420688 0.02520222 0.02782568 0.02628861
 0.05809958 0.05034567 0.02436227 0.02912133 0.03019352 0.02737174
 0.06169909 0.04889596]"
33,2009-05-04,"[0.05489529 0.04112484 0.04122791 0.03922509 0.02738192 0.03772941
 0.03172895 0.03426647 0.02444717 0.03811863 0.06480391 0.0254879
 0.02920418 0.04429885 0.0528299  0.0237602  0.02546813 0.02566822
 0.06492536 0.05011141 0.02443913 0.02766754 0.03147781 0.0266306
 0.06154436 0.0515368 ]"
