,dates,weights
13,2009-04-03,"[0.04092661 0.02054971 0.03976256 0.02978394 0.0271516  0.01616752
 0.01626163 0.04286898 0.02023584 0.04166388 0.01748592 0.01691572
 0.0166874  0.01652996 0.03309853 0.0415429  0.04406388 0.04618494
 0.01615253 0.03462281 0.03002965 0.0421336  0.02159691 0.02496441
 0.01583979 0.01654188 0.02072326 0.04254229 0.03303043 0.01626424
 0.01937957 0.01921747 0.01594774 0.01919061 0.04116903 0.04277233]"
14,2009-04-06,"[0.04122483 0.0193919  0.03907172 0.02930468 0.02804116 0.0162884
 0.01580549 0.04308671 0.02022152 0.0431392  0.01640779 0.01653826
 0.01683641 0.0166339  0.03263084 0.04347783 0.04255199 0.04217062
 0.01641765 0.03240035 0.02972144 0.04165203 0.0218433  0.02477683
 0.01641563 0.01603661 0.02143001 0.04269263 0.03589633 0.01671761
 0.01912173 0.01898942 0.01609249 0.01888618 0.04542116 0.04266542]"
15,2009-04-07,"[0.04196751 0.01956576 0.03918965 0.02890576 0.02765648 0.01629646
 0.01600111 0.04257517 0.02045702 0.04538255 0.01652951 0.01606296
 0.01650677 0.01688241 0.03254306 0.04238067 0.0419092  0.04226169
 0.01657152 0.03207939 0.03033964 0.04288745 0.02174297 0.02474239
 0.01633369 0.01606469 0.02026825 0.04259758 0.03387464 0.0162081
 0.01937542 0.0191245  0.01609323 0.01942488 0.04631202 0.04288588]"
16,2009-04-08,"[0.04077078 0.01972116 0.03912831 0.02891102 0.02791767 0.01645083
 0.01649617 0.04308305 0.02066096 0.04217127 0.01701086 0.01644454
 0.01674973 0.01687508 0.03207517 0.04410659 0.04410458 0.0445478
 0.01637165 0.03379107 0.0298476  0.0411617  0.02187539 0.02521208
 0.01641413 0.01617402 0.0199312  0.04202862 0.03449776 0.01684265
 0.01970129 0.01886059 0.01627905 0.02009485 0.04101868 0.04267208]"
17,2009-04-09,"[0.03974526 0.01954595 0.03915705 0.029021   0.02708602 0.01617609
 0.0162666  0.04323383 0.02039447 0.04181829 0.01737808 0.01673931
 0.01744201 0.01703015 0.0331102  0.04535545 0.0446029  0.04477498
 0.0158165  0.03417298 0.02959312 0.04142078 0.02330318 0.024864
 0.0154277  0.0165811  0.02037901 0.04175143 0.0346516  0.01657329
 0.01889845 0.01897968 0.01607182 0.01995072 0.04280699 0.03988003]"
18,2009-04-13,"[0.04124372 0.0194739  0.0394126  0.02926748 0.02721026 0.01607293
 0.01575505 0.04287201 0.0202539  0.04277927 0.01631707 0.01630814
 0.0166578  0.01644908 0.03283145 0.04349094 0.04298637 0.04343073
 0.01632074 0.03305304 0.02980971 0.04261593 0.02193853 0.02481798
 0.01613696 0.01618414 0.02109198 0.04169525 0.03317406 0.01614337
 0.0194751  0.01910631 0.01630502 0.02213207 0.04347029 0.04371684]"
19,2009-04-14,"[0.04142012 0.02005054 0.03928137 0.02885354 0.02786468 0.01588623
 0.01601353 0.04231418 0.02017058 0.04236333 0.01653927 0.01509709
 0.01616844 0.01690945 0.03303332 0.04398198 0.0446887  0.04413678
 0.01629665 0.0345151  0.02954078 0.0424954  0.02205657 0.02460063
 0.01613132 0.01577351 0.02041132 0.04217266 0.03409071 0.01649336
 0.01918383 0.01870455 0.01737286 0.01959449 0.04297189 0.04282116]"
20,2009-04-15,"[0.04100187 0.01915581 0.03923361 0.02883631 0.02710789 0.01689094
 0.01737952 0.04403043 0.02126325 0.04233572 0.01658535 0.01645952
 0.01664318 0.01702507 0.0318437  0.04206522 0.04275734 0.04249064
 0.01662288 0.03266105 0.02945562 0.04302445 0.02195974 0.02501903
 0.01655655 0.01635823 0.02071627 0.04379104 0.03430901 0.01623734
 0.01941151 0.01918246 0.01571251 0.01964263 0.04336487 0.04286947]"
21,2009-04-16,"[0.04052645 0.02013022 0.03997887 0.02912472 0.02725387 0.01650408
 0.01611963 0.04356197 0.02102854 0.04313681 0.01654971 0.01634654
 0.01760189 0.01700122 0.03282031 0.04201455 0.04359524 0.04451268
 0.01614354 0.03443205 0.02999539 0.04126149 0.02179641 0.02518649
 0.01575438 0.01644572 0.02073524 0.0433879  0.03407297 0.01633101
 0.01893815 0.0192075  0.01590421 0.02023249 0.04056558 0.0418021 ]"
22,2009-04-17,"[0.04102127 0.01962516 0.03893624 0.02943965 0.02758636 0.01595319
 0.0163387  0.04305809 0.02031031 0.04183692 0.01660664 0.01625069
 0.01738773 0.01674168 0.03206329 0.04673515 0.04294988 0.04386785
 0.01627228 0.03437582 0.03070706 0.04219912 0.02214656 0.02527183
 0.01610589 0.01637282 0.01982733 0.04347957 0.03360373 0.01622331
 0.01876858 0.01898037 0.01621518 0.01856821 0.0419356  0.04223796]"
23,2009-04-20,"[0.04247101 0.01954982 0.04007113 0.03004946 0.02816773 0.01621343
 0.01540593 0.04317293 0.02019759 0.0449083  0.0168438  0.01631137
 0.01363622 0.01641997 0.03250971 0.04234317 0.04231673 0.04222783
 0.0166359  0.03204156 0.03058343 0.04327801 0.0213027  0.02550909
 0.01643605 0.0160169  0.02018528 0.04316576 0.03446894 0.01665402
 0.01927687 0.01921536 0.01606616 0.01896796 0.04394944 0.04343046]"
24,2009-04-21,"[0.04073596 0.01949579 0.03968417 0.02980663 0.02740638 0.01656817
 0.01617346 0.04341842 0.02042511 0.0422094  0.01681604 0.01658931
 0.01717747 0.01708999 0.03320557 0.04302085 0.04459573 0.04344448
 0.01575965 0.03224348 0.02989781 0.04240685 0.02265933 0.02500292
 0.01501907 0.01630834 0.02107225 0.0426995  0.0343303  0.01666774
 0.01943369 0.01892094 0.0167924  0.02040271 0.03958824 0.04293185]"
25,2009-04-22,"[0.04092665 0.01967853 0.03873108 0.02897085 0.02722208 0.01599295
 0.01589031 0.04302974 0.02036913 0.04308395 0.01718533 0.01647213
 0.01659826 0.01734805 0.03323775 0.04432541 0.04433355 0.04688958
 0.01622272 0.03375413 0.0291349  0.04150388 0.02308942 0.02507636
 0.01576974 0.01662281 0.02008201 0.04125445 0.03298547 0.016362
 0.01928068 0.01935107 0.01550398 0.01957353 0.04224874 0.0418988 ]"
26,2009-04-23,"[0.04108839 0.0195669  0.0388101  0.02899029 0.02713211 0.01579649
 0.01719347 0.04305153 0.02076573 0.04225509 0.0187574  0.01622268
 0.01668501 0.01716075 0.03241678 0.04273757 0.04293905 0.04317835
 0.01634335 0.03200663 0.03057464 0.04192325 0.02185792 0.02657382
 0.01640823 0.01598399 0.02058723 0.04228772 0.03409137 0.01619212
 0.0199701  0.01890168 0.01701706 0.01876157 0.04304746 0.04272412]"
