time/time_elapsed,train/actor_loss,train/learning_rate,time/total_timesteps,train/ent_coef_loss,time/episodes,time/fps,train/ent_coef,train/n_updates,train/critic_loss
165,-111.57965087890625,0.0001,11176,-11.9874267578125,4,67,0.36154285073280334,10175,0.04007241874933243
313,-102.81812286376953,0.0001,22352,-25.083953857421875,8,71,0.11828431487083435,21351,0.04918202385306358
461,-70.52661895751953,0.0001,33528,-37.84474182128906,12,72,0.03870124742388725,32527,0.032328225672245026
614,-43.582237243652344,0.0001,44704,-50.33020782470703,16,72,0.012667094357311726,43703,0.03602029010653496
780,-25.632980346679688,0.0001,55880,-63.69993209838867,20,71,0.0041449954733252525,54879,0.02360823005437851
953,-14.594250679016113,0.0001,67056,-72.87297058105469,24,70,0.0013610442401841283,66055,0.02510201558470726
1102,-8.212648391723633,0.0001,78232,-76.07756042480469,28,70,0.00045136266271583736,77231,0.007752417586743832
1276,-4.6074934005737305,0.0001,89408,-78.77632141113281,32,70,0.00014901986287441105,88407,0.0015969511587172747
