time/episodes,time/fps,train/actor_loss,train/n_updates,time/time_elapsed,train/ent_coef_loss,train/learning_rate,time/total_timesteps,train/ent_coef,train/critic_loss
4,37,-400.891357421875,10375,300,-43.3240852355957,0.0001,11376,0.3545840382575989,1.9902116060256958
8,37,-368.30255126953125,21751,607,-87.28242492675781,0.0001,22752,0.11394517868757248,486.2826232910156
12,37,-252.37977600097656,33127,920,-136.5082244873047,0.0001,34128,0.03659237176179886,1.284580945968628
16,37,-154.63734436035156,44503,1229,-167.56907653808594,0.0001,45504,0.011803416535258293,52.61640930175781
20,36,-90.75104522705078,55879,1538,-193.86598205566406,0.0001,56880,0.0038221371360123158,1.1877787113189697
24,37,-50.61884307861328,67255,1843,-163.35800170898438,0.0001,68256,0.0012712135212495923,0.44298386573791504
28,36,-27.75240707397461,78631,2157,-188.57168579101562,0.0001,79632,0.000420560798374936,0.1724679172039032
32,36,-14.136777877807617,90007,2466,-90.36540222167969,0.0001,91008,0.00014480574463959783,0.1514642834663391
