time/episodes,train/critic_loss,time/fps,time/time_elapsed,train/reward,train/n_updates,train/actor_loss,time/total_timesteps,train/learning_rate
4,968.4337768554688,130,88,5.9908185,11471,134.03028869628906,11572,0.001
8,18.088220596313477,123,187,5.9908185,23043,54.00926208496094,23144,0.001
12,79.82579040527344,126,275,5.9908185,34615,45.82095718383789,34716,0.001
16,12.642217636108398,126,366,5.9908185,46187,42.72795486450195,46288,0.001
20,7.847545623779297,127,454,5.9908185,57759,40.47953414916992,57860,0.001
24,7.341501235961914,126,547,5.9908185,69331,38.18027114868164,69432,0.001
28,6.756311893463135,127,636,5.9908185,80903,31.921478271484375,81004,0.001
32,5.299290657043457,127,723,5.9908185,92475,33.10520553588867,92576,0.001
