,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Manager,Dow Jones
Annual Return,0.151,0.288,0.120,0.090,0.103,0.268,0.134,0.066
Sharpe Ratio,0.829,1.226,0.791,0.608,0.597,1.043,0.936,0.509
