,Annual Return,Cumulative Returns,Annual Volatility,Sharpe Ratio,Stability,Max Drawdown
Manager,0.134,0.468,0.146,0.936,0.714,-0.177
Dow Jones,0.066,0.215,0.148,0.509,0.407,-0.219
