,0_model,0_baseline
Annual return,0.26806240702088413,0.06645528453394434
Cumulative returns,1.0602695941925049,0.21538821275864328
Annual volatility,0.26067218170111695,0.14807955819028487
Sharpe ratio,1.0428024893424988,0.5091431994961778
Calmar ratio,0.9471084864428495,0.30288445703587075
Stability,0.6517079480640353,0.4071382129181897
Max drawdown,-0.28303242010603563,-0.2194080382476477
Omega ratio,1.1852055380314344,1.0908009926555746
Sortino ratio,1.5449502370975463,0.7218568320909873
Skew,,
Kurtosis,,
Tail ratio,1.0391505823038747,1.0271345051583645
Daily value at risk,-0.03176291903946549,-0.018357089375590302
