,0_model,0_baseline
Annual return,0.10290515140334278,0.06645528453394434
Cumulative returns,0.3473217487335205,0.21538821275864328
Annual volatility,0.19646703692311454,0.14807955819028487
Sharpe ratio,0.5973944095858883,0.5091431994961778
Calmar ratio,0.3677455679482692,0.30288445703587075
Stability,0.5890627572688326,0.4071382129181897
Max drawdown,-0.2798270336131378,-0.2194080382476477
Omega ratio,1.106869628758791,1.0908009926555746
Sortino ratio,0.862691631609505,0.7218568320909873
Skew,,
Kurtosis,,
Tail ratio,1.0400688105636604,1.0271345051583645
Daily value at risk,-0.02428677276475355,-0.018357089375590302
