,0_model,0_baseline
Annual return,0.1514513471258645,0.06645528453394434
Cumulative returns,0.5360671281814575,0.21538821275864328
Annual volatility,0.19273730121617366,0.14807955819028487
Sharpe ratio,0.8290738099275436,0.5091431994961778
Calmar ratio,0.6800095726836849,0.30288445703587075
Stability,0.6416231543358257,0.4071382129181897
Max drawdown,-0.2227194339752538,-0.2194080382476477
Omega ratio,1.1465105259293389,1.0908009926555746
Sortino ratio,1.215341112319515,0.7218568320909873
Skew,,
Kurtosis,,
Tail ratio,1.0909569158225216,1.0271345051583645
Daily value at risk,-0.023648516507819295,-0.018357089375590302
