,dates,weights
0,2009-03-17,"[0.04235641 0.06023328 0.02529215 0.06166066 0.0259291  0.04179094
 0.02603682 0.02403393 0.02390159 0.06098385 0.0398569  0.02474717
 0.0240518  0.02300907 0.05776912 0.02448228 0.06233494 0.06110363
 0.06123161 0.02409205 0.02564868 0.04485754 0.05825775 0.02445078
 0.02621718 0.02567082]"
1,2009-03-18,"[0.04295507 0.05957733 0.02760867 0.05988981 0.02465045 0.0422992
 0.02617269 0.02359759 0.02372496 0.05856569 0.03983951 0.02472154
 0.02412487 0.02331127 0.0644476  0.02395814 0.06209913 0.05934695
 0.06171589 0.02440707 0.02551179 0.04458077 0.05677568 0.02372362
 0.02624875 0.02614594]"
2,2009-03-19,"[0.04414168 0.06016064 0.02529027 0.06098284 0.02495752 0.04183773
 0.02479382 0.02434373 0.02404837 0.06001346 0.03870415 0.0243819
 0.02415969 0.02369954 0.06343877 0.02479324 0.06114717 0.06208412
 0.06252606 0.02448628 0.02566394 0.04390471 0.05360439 0.02407634
 0.02570789 0.02705174]"
3,2009-03-20,"[0.04462221 0.06073774 0.02475428 0.06344143 0.02559189 0.04026769
 0.02451343 0.02409293 0.02340196 0.06128864 0.03887834 0.02435732
 0.02326973 0.02502444 0.05838129 0.0246842  0.05913581 0.06040446
 0.06516794 0.0236494  0.02655575 0.0429019  0.057735   0.02449589
 0.02587522 0.02677112]"
4,2009-03-23,"[0.04188372 0.06043444 0.02674991 0.06264768 0.0260029  0.04225887
 0.0266546  0.02413652 0.02392535 0.06069987 0.03877109 0.02470652
 0.02416786 0.02344384 0.05725111 0.02501084 0.06296083 0.05596052
 0.06183728 0.02491247 0.02593272 0.04566349 0.0574715  0.02479193
 0.02603562 0.02568869]"
5,2009-03-24,"[0.04473835 0.06025748 0.0248224  0.06150983 0.02476758 0.04050982
 0.02564918 0.02370845 0.02262245 0.06115531 0.03896275 0.02567424
 0.02410266 0.02406576 0.06318121 0.02432189 0.06001156 0.06118823
 0.0638682  0.0231136  0.02580704 0.04429112 0.0560335  0.02349693
 0.02602559 0.02611482]"
6,2009-03-25,"[0.04366988 0.05945345 0.02542565 0.0634251  0.02495451 0.04228372
 0.02563845 0.0239616  0.02287999 0.05940542 0.03908337 0.02528557
 0.02411883 0.02379928 0.06135885 0.02420297 0.06221522 0.06156215
 0.06360332 0.02369672 0.02598398 0.04358446 0.05577616 0.02299547
 0.02556506 0.02607071]"
7,2009-03-26,"[0.04206342 0.05908957 0.02514512 0.06207639 0.02460334 0.04172179
 0.02671367 0.023664   0.02360611 0.05928279 0.03848298 0.02349043
 0.02383486 0.02287171 0.06673598 0.02461994 0.06263965 0.06027943
 0.0609572  0.02570398 0.0256152  0.04495143 0.05743598 0.02370211
 0.02524097 0.02547199]"
8,2009-03-27,"[0.0444735  0.05888877 0.0243842  0.06375128 0.0244582  0.04046063
 0.02454364 0.02363933 0.02275884 0.06007781 0.03840938 0.02454528
 0.02368796 0.02413192 0.06685988 0.02379843 0.06174986 0.06041986
 0.06269187 0.02325385 0.02543516 0.04435901 0.05641791 0.02402529
 0.02641541 0.02636267]"
9,2009-03-30,"[0.04467512 0.05948424 0.02452686 0.06242093 0.02600844 0.0423905
 0.02529853 0.02368851 0.02289406 0.06043686 0.03899923 0.02445948
 0.02444253 0.02435611 0.06088423 0.02393917 0.05861166 0.06220254
 0.0631699  0.02352426 0.0261926  0.04333728 0.05717793 0.02416117
 0.0261201  0.02659777]"
10,2009-03-31,"[0.04340281 0.05945167 0.02568006 0.06077243 0.02564062 0.04229268
 0.02623112 0.02362185 0.02338757 0.06050761 0.03858857 0.02430416
 0.02391472 0.02339976 0.06253738 0.02535041 0.06127442 0.0598971
 0.0617102  0.02357121 0.02556998 0.04413857 0.05853933 0.02399714
 0.02569509 0.02652347]"
11,2009-04-01,"[0.0433207  0.06098679 0.02561327 0.0603953  0.0249155  0.04176299
 0.02573623 0.02355675 0.02320082 0.06049152 0.03865929 0.02438458
 0.02400015 0.02373443 0.06429741 0.02530861 0.06226396 0.06051883
 0.06285512 0.02397303 0.02581557 0.04312492 0.05489709 0.02414178
 0.02653025 0.02551521]"
12,2009-04-02,"[0.04274506 0.06035239 0.02609664 0.05974615 0.02551351 0.0420447
 0.02615836 0.02409068 0.02394423 0.06006476 0.03920104 0.02428121
 0.02376338 0.02319411 0.0633052  0.02373205 0.06270286 0.06010779
 0.06189033 0.02489652 0.02538322 0.04381802 0.05680305 0.0248593
 0.02632821 0.02497713]"
13,2009-04-03,"[0.04298841 0.0602345  0.02569291 0.06047279 0.0252964  0.0421235
 0.02586505 0.02376915 0.02515701 0.06019026 0.0382803  0.0248474
 0.02350305 0.02299542 0.06022612 0.02322308 0.06447321 0.06016776
 0.06129132 0.02340113 0.02526364 0.04477239 0.06029668 0.02383665
 0.02572551 0.02590638]"
14,2009-04-06,"[0.04401202 0.0611958  0.02432894 0.0645844  0.0252342  0.04187474
 0.02549783 0.02334506 0.02309967 0.06015869 0.03859821 0.02498059
 0.02372387 0.02393609 0.05867087 0.02447387 0.06185687 0.061357
 0.06292935 0.02366526 0.02580461 0.04333303 0.05621576 0.02480144
 0.02626384 0.02605794]"
15,2009-04-07,"[0.04496024 0.05943294 0.02563585 0.06360687 0.02501576 0.04053011
 0.02521762 0.02374157 0.02420088 0.06010463 0.0389016  0.02492397
 0.02402202 0.02403524 0.05716946 0.02498781 0.060857   0.0603295
 0.06379674 0.02424828 0.02589003 0.04506003 0.05639568 0.02415544
 0.02593964 0.02684105]"
16,2009-04-08,"[0.04291367 0.05910008 0.02574738 0.0620643  0.02514135 0.04162398
 0.02719591 0.02397885 0.02348852 0.05945288 0.0390274  0.02428402
 0.02357567 0.02335724 0.06314288 0.02439705 0.06262358 0.06101358
 0.06141744 0.02425348 0.02570215 0.04454405 0.05634645 0.02404378
 0.02539028 0.02617403]"
17,2009-04-09,"[0.04270396 0.05976846 0.02557001 0.06083607 0.02543018 0.04221779
 0.02642804 0.02281715 0.02291076 0.06031501 0.03884705 0.02482441
 0.02326798 0.0231844  0.06554188 0.02432748 0.06316494 0.06071503
 0.06087193 0.0245481  0.02563663 0.04434874 0.05635108 0.02417617
 0.02563348 0.02556335]"
18,2009-04-13,"[0.04378315 0.05993732 0.02506269 0.06216387 0.02489912 0.04215534
 0.02581052 0.02354426 0.02401076 0.06100119 0.03871879 0.02435192
 0.02319886 0.02366849 0.06560332 0.02423465 0.05938456 0.05894202
 0.06189265 0.02411889 0.02512954 0.04410284 0.05906428 0.02383278
 0.02564654 0.02574166]"
19,2009-04-14,"[0.04415392 0.05916295 0.02469796 0.06377564 0.02482112 0.04228884
 0.02565757 0.02344626 0.02347173 0.05913043 0.03802601 0.02476708
 0.02379157 0.02409343 0.06397516 0.02423903 0.06226416 0.06097022
 0.06201547 0.02401957 0.0254509  0.04507379 0.05469627 0.0242195
 0.02579447 0.025997  ]"
20,2009-04-15,"[0.04393853 0.05948602 0.02491431 0.06216443 0.02442947 0.04173884
 0.02584947 0.02404047 0.02321256 0.06204065 0.03927124 0.02441709
 0.02401061 0.02405911 0.06018956 0.02376373 0.05985616 0.06032721
 0.0646878  0.02375647 0.02550288 0.0436192  0.05778613 0.02395791
 0.02635379 0.02662632]"
21,2009-04-16,"[0.04304626 0.06050815 0.02556641 0.06092217 0.02557848 0.04185142
 0.0250639  0.0236844  0.02336625 0.06052328 0.03842299 0.02503269
 0.02402484 0.02358271 0.06339018 0.02510566 0.06187591 0.06169546
 0.0614772  0.0235916  0.02606597 0.0455594  0.05488264 0.02373862
 0.02553308 0.02591035]"
22,2009-04-17,"[0.04339975 0.06004972 0.02532203 0.06185076 0.02519887 0.04254299
 0.02579769 0.0233498  0.02358542 0.06010621 0.03848269 0.02440052
 0.02350551 0.02396445 0.06468828 0.02343696 0.06125179 0.06103346
 0.06228055 0.02481364 0.02510056 0.04431406 0.05625643 0.02356515
 0.02575081 0.02595182]"
23,2009-04-20,"[0.04569905 0.06074974 0.0249969  0.06343524 0.02610042 0.04028495
 0.02528719 0.02405806 0.02362867 0.06065652 0.0388521  0.02507174
 0.02381916 0.02455829 0.05509808 0.02461795 0.0601907  0.06189843
 0.06251992 0.02371423 0.02610675 0.04454856 0.05624071 0.02439965
 0.02634832 0.02711875]"
24,2009-04-21,"[0.04306709 0.05925146 0.02510899 0.06199083 0.02512272 0.04155025
 0.02616593 0.02452268 0.02423663 0.05945146 0.03908532 0.02388361
 0.02398761 0.02339529 0.06460775 0.02439865 0.06020489 0.06037972
 0.06097153 0.02462199 0.02572978 0.04303026 0.05958152 0.02386043
 0.02560395 0.02618958]"
25,2009-04-22,"[0.04375492 0.05945251 0.02563353 0.06117369 0.02529159 0.04267281
 0.0256343  0.02408967 0.02419391 0.06043366 0.03905205 0.02515819
 0.02375481 0.0231934  0.0600122  0.02407437 0.06316962 0.06035784
 0.06084806 0.02563308 0.0256288  0.0456508  0.05570052 0.02372676
 0.02581214 0.02589678]"
26,2009-04-23,"[0.04361432 0.06128448 0.02545023 0.0646635  0.02551011 0.04215517
 0.02511965 0.02358021 0.0229657  0.05999384 0.03787747 0.02432436
 0.02357011 0.02379893 0.06079516 0.02442048 0.06016633 0.06027342
 0.06226737 0.02551459 0.02566905 0.04333713 0.05731143 0.02433038
 0.02591264 0.02609402]"
27,2009-04-24,"[0.04297356 0.05781106 0.02670981 0.06533295 0.02587516 0.04028109
 0.02539242 0.02402108 0.02356518 0.05972089 0.03872453 0.02508773
 0.02360754 0.02313088 0.06205604 0.02639574 0.06163984 0.05823012
 0.06227649 0.02391876 0.02558105 0.04481737 0.05783047 0.02403237
 0.02545782 0.02553008]"
28,2009-04-27,"[0.04424638 0.06064756 0.02521149 0.06364864 0.02502371 0.04073479
 0.02547736 0.02378    0.02400908 0.06017997 0.03839997 0.02466904
 0.0231239  0.02401214 0.06053059 0.02399128 0.05979713 0.06194135
 0.06405802 0.02379495 0.02629676 0.04372499 0.05598705 0.02426065
 0.02582289 0.02663033]"
29,2009-04-28,"[0.04378342 0.05921691 0.0247905  0.06286742 0.02494312 0.04122852
 0.02581711 0.0235083  0.0234369  0.05974771 0.03891313 0.02449072
 0.02379883 0.02369072 0.06116414 0.02377313 0.06154001 0.06115612
 0.06381218 0.02464665 0.02533597 0.04336461 0.05859824 0.02394286
 0.02629429 0.0261385 ]"
30,2009-04-29,"[0.04343059 0.05972503 0.02603361 0.06276503 0.02416776 0.04211093
 0.02660417 0.02390206 0.02379889 0.06081779 0.03871508 0.02452139
 0.02381163 0.02377427 0.05991432 0.02452523 0.05994174 0.05782987
 0.06263059 0.02424117 0.02623335 0.04490792 0.05896395 0.02505663
 0.02527151 0.02630546]"
31,2009-04-30,"[0.04321652 0.0591662  0.0254467  0.05863663 0.02506251 0.04405228
 0.02943396 0.02394307 0.02392215 0.06000025 0.03810041 0.02395445
 0.02363289 0.02409293 0.05739707 0.02403055 0.06391897 0.06228954
 0.06096991 0.02512483 0.0253271  0.04541972 0.05736706 0.02465895
 0.02554282 0.02529256]"
32,2009-05-01,"[0.04403007 0.06062123 0.02545896 0.06307734 0.0248126  0.04188515
 0.02469177 0.02347899 0.02283749 0.06008706 0.03803537 0.02475388
 0.02395274 0.02402804 0.0610922  0.02444669 0.06274018 0.0587966
 0.06301699 0.02312856 0.02595806 0.04426115 0.05718632 0.02514377
 0.02626423 0.02621448]"
33,2009-05-04,"[0.04288953 0.06061327 0.02400753 0.06114044 0.02490022 0.04255056
 0.02678656 0.02331697 0.02423094 0.06010919 0.03848695 0.02433837
 0.02387257 0.0238217  0.0627869  0.02377808 0.06336541 0.06061353
 0.06049751 0.02435963 0.0252276  0.04436965 0.05839349 0.02427616
 0.02581556 0.0254517 ]"
34,2009-05-05,"[0.04404841 0.06026503 0.02555763 0.06224741 0.02598927 0.04065146
 0.02522215 0.02390687 0.02430695 0.06061212 0.03883369 0.02536425
 0.02480984 0.02420005 0.06096716 0.02399601 0.05923444 0.06019206
 0.06381369 0.02421075 0.02541404 0.04333768 0.05648723 0.02427082
 0.02574989 0.02631108]"
35,2009-05-06,"[0.04403372 0.05985954 0.02484982 0.06242905 0.02533272 0.04110909
 0.0261793  0.02353728 0.0230699  0.06051205 0.03862785 0.02492833
 0.02432096 0.02385891 0.06134991 0.02447287 0.0604684  0.06005252
 0.06297166 0.02389583 0.0258895  0.0456582  0.05612949 0.02415109
 0.02619658 0.02611544]"
36,2009-05-07,"[0.0448825  0.05952355 0.02514161 0.06337301 0.02494016 0.04005158
 0.0276679  0.02390107 0.02259096 0.06055763 0.03894532 0.02611908
 0.02414023 0.02469201 0.05848946 0.02435218 0.05839637 0.06037283
 0.06390134 0.02468629 0.02546168 0.0435847  0.05766786 0.02383741
 0.02581073 0.02691262]"
37,2009-05-08,"[0.04386305 0.05978218 0.02505381 0.06281681 0.02478397 0.04145712
 0.02570806 0.02418394 0.02344007 0.06183311 0.03853357 0.02510781
 0.02420842 0.02387129 0.06232221 0.0245042  0.05300393 0.05977148
 0.06306975 0.02353963 0.02566743 0.04365687 0.05944482 0.02820012
 0.02597605 0.02620038]"
38,2009-05-11,"[0.04415352 0.06029437 0.0261583  0.06403419 0.0255886  0.04073194
 0.02530414 0.02369544 0.02380846 0.0607012  0.03808529 0.02389497
 0.02433691 0.02361041 0.05638868 0.02441309 0.06309608 0.06240879
 0.06293984 0.02392905 0.02589942 0.04455399 0.05520913 0.02430307
 0.02613054 0.02633057]"
39,2009-05-12,"[0.04454244 0.05823653 0.02549509 0.06402594 0.02537584 0.04222421
 0.02464466 0.02467354 0.02365283 0.0597941  0.03884206 0.02526807
 0.02475131 0.02459941 0.05621981 0.02548598 0.05945737 0.0602872
 0.06331352 0.02402456 0.02602705 0.04392825 0.05718479 0.02439495
 0.02690047 0.02664995]"
40,2009-05-13,"[0.04493226 0.05875374 0.02506013 0.06395819 0.02458207 0.04121024
 0.02530487 0.02385297 0.02299686 0.06020964 0.03994882 0.02408275
 0.02409254 0.02447973 0.05800995 0.02479648 0.05891534 0.06034133
 0.06477824 0.02392442 0.02575802 0.04609293 0.05773559 0.02385248
 0.02604903 0.0262814 ]"
41,2009-05-14,"[0.04326808 0.06061784 0.02567054 0.06197441 0.02517327 0.04254843
 0.02628527 0.02307511 0.02365301 0.05907814 0.03771362 0.02435878
 0.02389773 0.02345353 0.06309909 0.02442481 0.06151697 0.06035879
 0.06339712 0.02377794 0.0257937  0.04496661 0.05619703 0.02429856
 0.02583045 0.02557124]"
42,2009-05-15,"[0.04386386 0.05946571 0.02525151 0.06263226 0.02470053 0.04175505
 0.02589647 0.02381005 0.02377476 0.06059533 0.03849537 0.02447188
 0.02367198 0.02400158 0.0588777  0.02457291 0.06307332 0.06188574
 0.06206294 0.0245415  0.02582951 0.0445919  0.05741193 0.02369787
 0.02566454 0.02540373]"
43,2009-05-18,"[0.04266611 0.06009962 0.02510233 0.06244063 0.02530186 0.04226471
 0.0263504  0.02388008 0.02299204 0.05958999 0.04014306 0.02412556
 0.02387794 0.02344964 0.06235826 0.02415844 0.06343348 0.060333
 0.06205898 0.02430064 0.02580361 0.04381375 0.05651252 0.02407502
 0.02535251 0.02551589]"
44,2009-05-19,"[0.04367161 0.05983697 0.02522651 0.06314225 0.02573126 0.042212
 0.02600122 0.0243089  0.02377675 0.06025117 0.03647256 0.02485911
 0.02452629 0.02366044 0.05993017 0.0240819  0.06240484 0.06120073
 0.06300343 0.02409126 0.02576166 0.044614   0.05530309 0.0238508
 0.02582779 0.02625334]"
45,2009-05-20,"[0.04400359 0.05917066 0.02517952 0.06367602 0.02532007 0.04171839
 0.02583437 0.02470783 0.02316397 0.06014127 0.03756275 0.02454029
 0.02414154 0.02390003 0.05679668 0.02454041 0.06350915 0.05909557
 0.06348999 0.02445475 0.02612598 0.04529332 0.05724902 0.02434289
 0.02622626 0.02581569]"
46,2009-05-21,"[0.04456508 0.05986318 0.02535388 0.06227575 0.02495006 0.04145771
 0.02525397 0.0239844  0.02352855 0.06106467 0.03776819 0.02420277
 0.02637406 0.02404312 0.05807719 0.02408762 0.06208337 0.06087971
 0.06304639 0.02431196 0.02347999 0.04399564 0.05901194 0.02414638
 0.02580767 0.02638668]"
