,dates,weights
18,2020-10-08,"[0.02204243 0.03003878 0.04418359 0.05505624 0.02915601 0.05119432
 0.02460364 0.0446405  0.03870693 0.06016278 0.02314106 0.02191467
 0.04923071 0.02669436 0.03362049 0.04769139 0.05811407 0.02291881
 0.05872959 0.05031241 0.04095107 0.0227234  0.02413652 0.02968126
 0.05851892 0.03183606]"
19,2020-10-09,"[0.02222992 0.0309372  0.04645192 0.05640223 0.02496933 0.04683344
 0.02392548 0.04393107 0.03655253 0.05636994 0.02351844 0.02247735
 0.04941013 0.02655577 0.03274893 0.05088724 0.05757887 0.0228319
 0.06129241 0.05315705 0.04081995 0.02446592 0.02426271 0.02951621
 0.06049308 0.03138098]"
20,2020-10-12,"[0.0226452  0.0297913  0.04526669 0.05420342 0.02418612 0.05031125
 0.02416434 0.0438596  0.03936519 0.05975997 0.02394056 0.02257674
 0.05029783 0.02680902 0.03364507 0.04649753 0.05745826 0.02330736
 0.05950516 0.0527551  0.04067178 0.02303873 0.02528366 0.02995541
 0.05945129 0.03125339]"
21,2020-10-13,"[0.02279728 0.03014397 0.0439657  0.05447559 0.02609431 0.04584331
 0.02475899 0.04552113 0.03891065 0.06004044 0.02372526 0.02273025
 0.05151089 0.02768851 0.03314734 0.04704814 0.05550407 0.02272856
 0.05912816 0.05401909 0.0419362  0.02375838 0.02498363 0.03013604
 0.05876416 0.03064004]"
22,2020-10-14,"[0.02263028 0.03039183 0.04477311 0.05546978 0.02523665 0.05060268
 0.02419536 0.04408396 0.03816448 0.05846154 0.02345541 0.02231441
 0.05073957 0.02733668 0.03290693 0.04855255 0.05673291 0.02247578
 0.06083514 0.0511423  0.04028235 0.02367495 0.02466236 0.03013034
 0.05937871 0.03136995]"
23,2020-10-15,"[0.02286275 0.03015312 0.04441968 0.05323336 0.02496699 0.04960805
 0.02436327 0.04552772 0.03797565 0.05965438 0.02385396 0.02262627
 0.05154782 0.02758277 0.03376253 0.04624709 0.05578479 0.02334666
 0.05865325 0.05257404 0.04240212 0.02312675 0.02454807 0.03067315
 0.05862913 0.03187657]"
24,2020-10-16,"[0.02268917 0.03003387 0.04350445 0.05350429 0.02591408 0.05068282
 0.02443823 0.04641891 0.04007454 0.05908713 0.0234369  0.02254928
 0.05060505 0.02790967 0.03470154 0.04635423 0.05505691 0.02328317
 0.05852695 0.05092756 0.04164253 0.02271589 0.02462393 0.03059881
 0.05804925 0.03267084]"
25,2020-10-19,"[0.0225282  0.03045231 0.04389243 0.05320847 0.02803303 0.05480137
 0.02426874 0.0450101  0.0382168  0.05735001 0.02479046 0.0227919
 0.04984416 0.02747471 0.03371835 0.04512979 0.05475538 0.02335251
 0.0570904  0.05066618 0.04366237 0.02329177 0.02444328 0.03096597
 0.05714827 0.03311314]"
26,2020-10-20,"[0.02246058 0.03099277 0.04523593 0.05362371 0.02529081 0.05261352
 0.02467171 0.04426737 0.03771408 0.05809028 0.02391127 0.02261561
 0.05089864 0.02773938 0.03171213 0.04729845 0.05631466 0.02340093
 0.05895251 0.05146094 0.04286456 0.02400081 0.02415738 0.03076686
 0.05703988 0.03190519]"
27,2020-10-21,"[0.02294898 0.03102622 0.04654683 0.0556842  0.02877691 0.04998482
 0.02417208 0.04418343 0.03931766 0.05906618 0.02414742 0.0229823
 0.05046362 0.02707393 0.03372166 0.04959807 0.05858959 0.02206893
 0.06088346 0.05210129 0.03856384 0.02411094 0.02476721 0.01521776
 0.0620827  0.0319199 ]"
28,2020-10-22,"[0.02313952 0.02765749 0.04527339 0.05503201 0.02410551 0.0475124
 0.02438324 0.04455902 0.03825717 0.06171688 0.02432188 0.02368018
 0.05255136 0.02657861 0.03591982 0.04719938 0.05724007 0.0241975
 0.05900016 0.05760633 0.03336991 0.0243446  0.02554252 0.02932027
 0.06009808 0.02739268]"
29,2020-10-23,"[0.02266367 0.03046739 0.04462559 0.05374691 0.02479364 0.05105821
 0.02472045 0.04540475 0.03887982 0.06074665 0.02393313 0.02252113
 0.05058883 0.02709902 0.03386503 0.0451379  0.05639665 0.02265591
 0.05788036 0.05166814 0.04287763 0.02262139 0.02418853 0.03061635
 0.0575325  0.03331039]"
30,2020-10-26,"[0.0227895  0.03180462 0.04701611 0.05275463 0.02709735 0.04833787
 0.02506407 0.04462291 0.03944847 0.05861936 0.02305987 0.02224006
 0.04978687 0.02780999 0.03366648 0.04542816 0.05596591 0.02291229
 0.05842328 0.05083378 0.04466359 0.02279089 0.02470079 0.03154979
 0.05681229 0.03180109]"
31,2020-10-27,"[0.02235905 0.02787744 0.04512142 0.05594879 0.02220501 0.04154387
 0.02308231 0.04229041 0.03655575 0.05883496 0.0231493  0.02298608
 0.04996522 0.02513503 0.03230244 0.04896301 0.05673512 0.02245486
 0.06087461 0.05608828 0.03266688 0.02331995 0.02580708 0.0566771
 0.06060272 0.02645329]"
32,2020-10-28,"[0.02281804 0.04818879 0.04572652 0.04304006 0.04069786 0.05554787
 0.03178195 0.04806395 0.04948424 0.05430363 0.02403468 0.02112008
 0.04508258 0.02795903 0.02423419 0.0340607  0.04961709 0.02133035
 0.04525698 0.04147844 0.05469314 0.02036622 0.02319087 0.04736823
 0.03898462 0.04156985]"
33,2020-10-29,"[0.02259849 0.02998505 0.05021796 0.05387409 0.02412065 0.04875519
 0.02399403 0.04535593 0.03944253 0.05956018 0.02351289 0.02273764
 0.0507046  0.02663255 0.0352917  0.04829568 0.05687655 0.02064473
 0.05950485 0.04959822 0.039867   0.02325545 0.02531361 0.02934523
 0.06063387 0.02988139]"
34,2020-10-30,"[0.0222723  0.03703167 0.04635447 0.05163949 0.02925692 0.05289486
 0.02562992 0.04439794 0.04234947 0.05634988 0.02370233 0.02136395
 0.04607294 0.02636454 0.02987397 0.04391562 0.05634204 0.0231063
 0.05721796 0.04554183 0.04656184 0.0228587  0.02320246 0.03509573
 0.05518568 0.03541717]"
35,2020-11-02,"[0.02196161 0.03130535 0.04576168 0.05713574 0.02588511 0.05118709
 0.02507405 0.04426423 0.04085895 0.0578543  0.02317881 0.02174853
 0.04748182 0.02612591 0.03557114 0.04824958 0.05522045 0.02113636
 0.05859643 0.04921413 0.0438685  0.02258249 0.02420341 0.03043356
 0.05797861 0.03312213]"
36,2020-11-03,"[0.02188743 0.03209985 0.04397437 0.05203126 0.02709706 0.05310809
 0.02496013 0.04640679 0.03825225 0.05848029 0.02462501 0.02359642
 0.05163113 0.02825797 0.03201795 0.04490323 0.05457192 0.02295342
 0.05666019 0.05046729 0.04473587 0.02202099 0.02414898 0.03109333
 0.05590829 0.03411042]"
37,2020-11-04,"[0.02227367 0.03083281 0.04410926 0.05186918 0.02734979 0.05128809
 0.02531468 0.04970187 0.04062986 0.06231976 0.0224753  0.0207118
 0.04885306 0.02685938 0.03201538 0.04481412 0.05330278 0.02291079
 0.05679177 0.05265756 0.04588478 0.02263889 0.02359061 0.03150326
 0.05464071 0.03466083]"
38,2020-11-05,"[0.02128141 0.03438921 0.04787864 0.05306874 0.02986245 0.05439226
 0.0243224  0.04289472 0.03788028 0.05422143 0.02246778 0.02048204
 0.04779609 0.02731239 0.0318051  0.04745227 0.05834494 0.02178585
 0.05929065 0.04565386 0.04729156 0.02129727 0.02429638 0.03198743
 0.05884887 0.03369598]"
39,2020-11-06,"[0.02296799 0.02965097 0.04520669 0.05756994 0.02410594 0.04755492
 0.02426575 0.04227046 0.0388216  0.05672086 0.02343019 0.02327695
 0.05316739 0.02855054 0.03528848 0.04881034 0.05556349 0.02218505
 0.05964656 0.05426156 0.0383648  0.02365057 0.02449554 0.02968099
 0.05926278 0.03122973]"
40,2020-11-09,"[0.02203413 0.03346265 0.04290755 0.04510736 0.03044307 0.07836375
 0.02590753 0.04847899 0.04479602 0.05765188 0.02439984 0.02225503
 0.0476687  0.02718522 0.03136139 0.03746105 0.05123488 0.02262589
 0.05124882 0.04086307 0.04495692 0.02224774 0.02208083 0.03520643
 0.0498463  0.04020493]"
41,2020-11-10,"[0.02287177 0.02879899 0.04387119 0.05284815 0.02290167 0.05133837
 0.0250361  0.04639341 0.03978281 0.06087559 0.02362958 0.02257231
 0.0507222  0.02730098 0.03737006 0.04726342 0.05454328 0.02410566
 0.05744459 0.0520392  0.04144117 0.02326591 0.02430713 0.03010559
 0.05662736 0.03254354]"
42,2020-11-11,"[0.02254852 0.03189179 0.04461871 0.05340277 0.02820134 0.05076494
 0.02585568 0.04563923 0.03906563 0.05746686 0.02330423 0.02253558
 0.05016878 0.02710647 0.03082018 0.04378804 0.05574803 0.02357899
 0.05773735 0.05200956 0.04611694 0.0218641  0.02402116 0.03166726
 0.05635517 0.03372264]"
43,2020-11-12,"[0.02270682 0.02957864 0.04524954 0.05518305 0.02509312 0.04441845
 0.02314618 0.04356641 0.03879045 0.05865639 0.02440686 0.0227597
 0.05080077 0.02707262 0.03284172 0.04720381 0.05782562 0.02341721
 0.06180777 0.05430325 0.0376909  0.0237581  0.02532461 0.0293704
 0.06483068 0.03019698]"
44,2020-11-13,"[0.02233321 0.02947463 0.04446729 0.0550343  0.02578749 0.0542685
 0.0237169  0.0449622  0.03817993 0.05849718 0.02337743 0.02235582
 0.04952149 0.02663111 0.03485498 0.04783275 0.05589495 0.02219187
 0.05890142 0.05499507 0.04024842 0.02256391 0.02484579 0.02970081
 0.05755357 0.03180901]"
45,2020-11-16,"[0.0222746  0.03266336 0.0455632  0.05091554 0.02998101 0.05527536
 0.02521411 0.04507623 0.04098487 0.05655385 0.02383262 0.02160196
 0.04892993 0.02728437 0.03202167 0.04406808 0.05474571 0.02269767
 0.05632859 0.04829862 0.04624602 0.02306199 0.02345719 0.03251163
 0.05451889 0.03589297]"
