,dates,weights
18,2009-04-13,"[0.02341372 0.06030775 0.0531655  0.02234678 0.03965595 0.02714031
 0.05983751 0.03079704 0.03766327 0.02266679 0.04780057 0.02222273
 0.0547559  0.02475733 0.05581386 0.04853513 0.02512638 0.05654304
 0.03634932 0.04991319 0.02300676 0.02433581 0.02528963 0.05531007
 0.04997983 0.02326574]"
19,2009-04-14,"[0.02451519 0.05618584 0.05773561 0.02296054 0.03874259 0.02853242
 0.05929638 0.03048533 0.03653814 0.02240302 0.05007365 0.02234072
 0.05613651 0.02468964 0.05366899 0.05061771 0.02320572 0.05076032
 0.03276256 0.05130558 0.02262885 0.02628708 0.02631388 0.05843059
 0.04922084 0.0241624 ]"
20,2009-04-15,"[0.02328757 0.06294575 0.05307497 0.02253387 0.04266425 0.02782785
 0.05732605 0.02992467 0.03755341 0.02228134 0.04565163 0.02432008
 0.05539211 0.02588735 0.05091153 0.04969864 0.02483821 0.05453793
 0.03227042 0.04991491 0.0232225  0.02558438 0.02616373 0.05608136
 0.05344793 0.02265756]"
21,2009-04-16,"[0.02316871 0.0587348  0.05542414 0.02385572 0.04055712 0.02858128
 0.05727458 0.03066509 0.03743591 0.02310236 0.04791335 0.0263944
 0.05064925 0.0262305  0.05259982 0.04992571 0.02529019 0.05283159
 0.03400385 0.05142329 0.02219021 0.02479365 0.02418813 0.05794212
 0.05230216 0.02252218]"
22,2009-04-17,"[0.02332253 0.05982895 0.05572167 0.02305924 0.03847393 0.02837372
 0.05949294 0.03074949 0.0381129  0.02290439 0.04519017 0.02333418
 0.0531581  0.02505552 0.05159136 0.04904949 0.02334383 0.05867798
 0.03451677 0.05051472 0.02261898 0.02491915 0.02571934 0.05747906
 0.05295212 0.02183938]"
23,2009-04-20,"[0.02543883 0.05647551 0.05735564 0.02471318 0.03575677 0.02718794
 0.05948158 0.03080246 0.03395304 0.02296604 0.04829781 0.02139917
 0.05884049 0.02734886 0.05395409 0.0518979  0.02525822 0.05280517
 0.03038908 0.04949358 0.02223661 0.02607857 0.02515844 0.05796098
 0.05213613 0.02261384]"
24,2009-04-21,"[0.02273717 0.06535817 0.04793051 0.02193276 0.03963794 0.02917279
 0.06103472 0.03046096 0.03738902 0.02181279 0.04722925 0.02429297
 0.05601958 0.02527702 0.05162008 0.04858806 0.02528972 0.05316034
 0.03301081 0.04933851 0.02142717 0.02522455 0.02490852 0.06293908
 0.05163306 0.02257448]"
25,2009-04-22,"[0.02348171 0.06029902 0.05578516 0.0232978  0.03707778 0.02683157
 0.05724518 0.03031851 0.03684777 0.02334266 0.04814929 0.02142262
 0.05524701 0.02535912 0.05331041 0.04971377 0.02537217 0.05146227
 0.03489299 0.04921056 0.02184721 0.02486068 0.02515095 0.06173213
 0.05316449 0.02457708]"
26,2009-04-23,"[0.02306333 0.06250967 0.05001163 0.02420757 0.04209412 0.03100199
 0.05728391 0.02987423 0.03760144 0.02158044 0.04647841 0.02309256
 0.05531431 0.02566566 0.0516231  0.04886576 0.02369882 0.05538746
 0.03875802 0.04817722 0.02318376 0.02503243 0.02406017 0.0542664
 0.05390894 0.02325861]"
27,2009-04-24,"[0.02286296 0.05675538 0.05605032 0.02149526 0.03926281 0.02931582
 0.05700448 0.03098984 0.03720377 0.02152397 0.04947525 0.02193085
 0.05510883 0.02750872 0.05487172 0.04979669 0.0256577  0.05457114
 0.03348027 0.05007306 0.02216231 0.0251109  0.0245902  0.0558438
 0.0536197  0.0237343 ]"
28,2009-04-27,"[0.02468194 0.05021854 0.05558788 0.024062   0.03875674 0.0293743
 0.06458493 0.0302283  0.03827227 0.02245736 0.04790583 0.02200867
 0.05641788 0.027141   0.05603528 0.05221755 0.02461116 0.05467574
 0.0287808  0.04958579 0.02188197 0.02594586 0.0260622  0.05853252
 0.04758479 0.02238867]"
29,2009-04-28,"[0.02370003 0.0560132  0.05429285 0.0224845  0.0390896  0.02825275
 0.05988164 0.03077155 0.03515408 0.02261288 0.04635128 0.02287134
 0.05416977 0.02596804 0.05307896 0.05078781 0.02454618 0.05285689
 0.03411773 0.05141091 0.02226265 0.0255331  0.02783194 0.0606287
 0.05341393 0.02191765]"
30,2009-04-29,"[0.02277417 0.05825786 0.05100606 0.02319744 0.04263403 0.02825321
 0.05944355 0.03054205 0.03643325 0.02107809 0.04772952 0.02293856
 0.05423163 0.02581299 0.05524546 0.04885311 0.02555365 0.05809331
 0.03556946 0.04865527 0.02194224 0.02463872 0.02456762 0.05692403
 0.05267589 0.02294875]"
31,2009-04-30,"[0.02351614 0.0549924  0.05339631 0.02232019 0.03954651 0.02679604
 0.05773109 0.03163934 0.03527738 0.02318317 0.04636606 0.02210654
 0.05534529 0.0283361  0.05407304 0.05025336 0.02572326 0.06043033
 0.0344538  0.05219751 0.02362949 0.02484479 0.02462296 0.05712137
 0.0489688  0.02312875]"
32,2009-05-01,"[0.02336692 0.06086633 0.05114537 0.02393832 0.03885671 0.02887887
 0.0617307  0.03017969 0.03684269 0.02155272 0.04880926 0.022996
 0.05337475 0.02560995 0.05170679 0.05131931 0.02733233 0.05774404
 0.03094807 0.04923937 0.02215837 0.02475981 0.02347221 0.05717034
 0.05368587 0.02231527]"
33,2009-05-04,"[0.02257547 0.06347872 0.04950236 0.02236342 0.04109767 0.02797698
 0.06179454 0.03139019 0.03773068 0.02234465 0.05106184 0.02254853
 0.0530081  0.02464472 0.05058735 0.04856923 0.02511292 0.0565984
 0.03471714 0.04919898 0.02231387 0.02361435 0.02456484 0.05583653
 0.05375743 0.02361107]"
34,2009-05-05,"[0.02334124 0.06210607 0.05518993 0.02340513 0.03791158 0.02754424
 0.06087708 0.02974992 0.03490459 0.02269666 0.04819599 0.02065459
 0.05433917 0.02503256 0.05368877 0.04998107 0.02474349 0.05267313
 0.03393651 0.05116788 0.02342767 0.02482869 0.02519303 0.05617061
 0.05216973 0.0260706 ]"
35,2009-05-06,"[0.02362106 0.05874008 0.05569888 0.02288562 0.03889766 0.02761548
 0.06139823 0.03032217 0.03753665 0.02223885 0.04965305 0.02278616
 0.05245075 0.02558089 0.05362678 0.0507499  0.02338653 0.05282907
 0.03465155 0.05008464 0.02363377 0.02546568 0.02588228 0.05796434
 0.05099477 0.02130516]"
36,2009-05-07,"[0.02474282 0.04836597 0.05674021 0.02472066 0.03572095 0.02837517
 0.06125244 0.0304502  0.03649139 0.02273591 0.05024942 0.02399712
 0.05683004 0.02576091 0.05690304 0.05437585 0.02331503 0.04843082
 0.03352416 0.04935019 0.02065094 0.02698761 0.02589725 0.05982248
 0.05209976 0.02220961]"
37,2009-05-08,"[0.02294024 0.05249332 0.05329875 0.02439715 0.04117845 0.02746215
 0.06009696 0.03022661 0.03921566 0.02153183 0.04723911 0.02654948
 0.05230329 0.02516247 0.05007799 0.04917715 0.02481687 0.06179389
 0.03311025 0.04905331 0.02268988 0.0251116  0.02616654 0.05557071
 0.05477609 0.02356033]"
38,2009-05-11,"[0.02405861 0.06019296 0.05851042 0.02391038 0.03736942 0.02784699
 0.05653078 0.02954111 0.03620153 0.02271095 0.04593244 0.0205428
 0.05763641 0.02606208 0.0604463  0.05180306 0.02426217 0.05131823
 0.03111275 0.04966299 0.0213072  0.02514982 0.02571153 0.05584868
 0.05258608 0.02374436]"
39,2009-05-12,"[0.02410451 0.05396248 0.05494776 0.02561209 0.03776282 0.02700897
 0.06015478 0.03048475 0.03699306 0.02247705 0.04626426 0.02423831
 0.05572792 0.02618127 0.05340571 0.05068565 0.02463137 0.0523467
 0.03217064 0.0521846  0.02234229 0.02556746 0.02760714 0.05559108
 0.05626696 0.02128039]"
40,2009-05-13,"[0.02545845 0.05477269 0.05818926 0.02264735 0.03740552 0.02905867
 0.05927828 0.03015251 0.03669316 0.02251001 0.04951373 0.02359352
 0.05843389 0.02721482 0.05066261 0.05428465 0.02402651 0.04987291
 0.03155267 0.05181391 0.02254556 0.02594711 0.02534206 0.05828203
 0.04930313 0.02144503]"
41,2009-05-14,"[0.02284163 0.05963047 0.05373606 0.02275599 0.04060444 0.02800151
 0.05803159 0.02948489 0.03693949 0.02249781 0.04662499 0.02226259
 0.05428101 0.02585649 0.0584307  0.04832683 0.02390624 0.05555487
 0.03404443 0.05021456 0.02210326 0.02486377 0.02454179 0.0563585
 0.05644032 0.02166584]"
