,dates,weights
56,2020-12-02,"[0.14629616 0.11082476 0.15016139 0.10798422 0.10924792 0.23972775
 0.13575782]"
57,2020-12-03,"[0.1457571  0.1133457  0.14931095 0.10717797 0.10860327 0.23959127
 0.13621376]"
58,2020-12-04,"[0.14460891 0.11340899 0.15027729 0.10787167 0.10840197 0.23957048
 0.13586064]"
59,2020-12-07,"[0.14634685 0.11070518 0.14948194 0.10983762 0.10748278 0.23920082
 0.13694473]"
60,2020-12-08,"[0.14597885 0.11169975 0.15041947 0.10766812 0.10763586 0.24027057
 0.1363274 ]"
61,2020-12-09,"[0.14748266 0.11101681 0.14987572 0.10785494 0.10830746 0.23956051
 0.13590184]"
62,2020-12-10,"[0.1460651  0.11206507 0.14931336 0.10955329 0.10837051 0.23800862
 0.13662408]"
63,2020-12-11,"[0.14683339 0.10913372 0.14943817 0.10831682 0.10751309 0.24171355
 0.13705127]"
64,2020-12-14,"[0.14611134 0.11207316 0.15004142 0.10757971 0.10792905 0.23931384
 0.13695157]"
65,2020-12-15,"[0.14474182 0.11327197 0.15003045 0.10777643 0.10863364 0.23937817
 0.1361676 ]"
66,2020-12-16,"[0.14631629 0.11038599 0.14970791 0.10838746 0.10771012 0.2400846
 0.1374077 ]"
67,2020-12-17,"[0.14508168 0.11213473 0.14972804 0.11001343 0.10725598 0.23890103
 0.13688509]"
68,2020-12-18,"[0.14636299 0.11082633 0.14979638 0.10841245 0.10768054 0.2401764
 0.13674484]"
69,2020-12-21,"[0.14713542 0.11041827 0.14932252 0.10872082 0.10796117 0.2394736
 0.13696812]"
70,2020-12-22,"[0.14653897 0.11290058 0.14981455 0.10686097 0.10736559 0.23946054
 0.13705876]"
71,2020-12-23,"[0.14554201 0.11415605 0.14982288 0.10879428 0.10865104 0.23792708
 0.13510668]"
72,2020-12-24,"[0.1461008  0.11131515 0.14998165 0.10751543 0.10772231 0.2403327
 0.13703197]"
73,2020-12-28,"[0.14592338 0.11201795 0.14915535 0.10734817 0.10817781 0.24047597
 0.1369013 ]"
74,2020-12-29,"[0.14625351 0.10924059 0.1488001  0.11208405 0.10740626 0.2397254
 0.13649014]"
75,2020-12-30,"[0.14570646 0.11240267 0.14978014 0.10786699 0.10861573 0.23941177
 0.1362162 ]"
76,2020-12-31,"[0.14603573 0.11128742 0.15062615 0.10629344 0.10834309 0.2404445
 0.1369697 ]"
