,0_model,0_baseline
Annual return,-0.11925866571552601,-0.15436434749192152
Cumulative returns,-0.1254504919052124,-0.16053077907348778
Annual volatility,0.1791172911071126,0.1806777714583469
Sharpe ratio,-0.6220202833812055,-0.8409029188675825
Calmar ratio,-0.67460442354389,-0.7411359474152089
Stability,0.5026265369707497,0.6315570114444751
Max drawdown,-0.17678310659308477,-0.2082807452941444
Omega ratio,0.9028715583949886,0.869549887468386
Sortino ratio,-0.8340389913212443,-1.1017217732140856
Skew,,
Kurtosis,,
Tail ratio,0.9912773378227353,0.9238955257888203
Daily value at risk,-0.023008778895018622,-0.023366166166617505
