,0_model,0_baseline
Annual return,0.20494722576610536,-0.07402860635429542
Cumulative returns,0.14328789710998535,-0.05287735556561035
Annual volatility,0.6869579523903381,0.41850228875658096
Sharpe ratio,0.6072194059413234,0.02537062372789874
Calmar ratio,1.1604853683234178,-0.19961242592701
Stability,0.6244987500778975,0.276799745032494
Max drawdown,-0.17660474777221685,-0.37086171369594306
Omega ratio,1.1343573886508769,1.0054871502953882
Sortino ratio,0.9748692949944119,0.034625576171365004
Skew,,
Kurtosis,,
Tail ratio,0.9976967164975776,0.8529963352977709
Daily value at risk,-0.08489327237475663,-0.05268419875332445
