,0_model,0_baseline
Annual return,0.08534121112087267,0.21790761166805073
Cumulative returns,0.09029042720794678,0.22843301196818877
Annual volatility,0.2716670197936923,0.13593270465270207
Sharpe ratio,0.438135102860384,1.524113701719253
Calmar ratio,0.3390556493866206,2.6901243268825117
Stability,0.25975286506405926,0.8991467842908715
Max drawdown,-0.2517026667311455,-0.08100280328700496
Omega ratio,1.0731982993935916,1.2920514467542301
Sortino ratio,0.637859211643788,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1600164198287035,1.0522905740339357
Daily value at risk,-0.03375449852319434,-0.016303780479937965
