,0_model,0_baseline
Annual return,0.28302504075013957,0.1294191997674885
Cumulative returns,21.763246536254883,3.593648687534409
Annual volatility,0.17789179194460572,0.1732116328260731
Sharpe ratio,1.4912441967093484,0.7899591835084797
Calmar ratio,1.0408290330573182,0.34896888783077495
Stability,0.9933556034695874,0.968856458696573
Max drawdown,-0.2719226998489707,-0.370861713695943
Omega ratio,1.3198730015539752,1.1687001547184803
Sortino ratio,2.1720545315784268,1.112046923207764
Skew,,
Kurtosis,,
Tail ratio,0.9917576416495247,0.9531525852319178
Daily value at risk,-0.021359561127610505,-0.021279637839893655
