,0_model,0_baseline
Annual return,0.18428235369968538,0.11520893817976496
Cumulative returns,5.745203495025635,2.4188909374038987
Annual volatility,0.1708955122592543,0.17653434154786782
Sharpe ratio,1.0760180212968629,0.7066500935593668
Calmar ratio,0.5702734601026686,0.31065201374283913
Stability,0.9802440940671343,0.9611266111095068
Max drawdown,-0.3231473434981672,-0.370861713695943
Omega ratio,1.2396841885738827,1.1519997155365247
Sortino ratio,1.5448483437379428,0.9916339693949878
Skew,,
Kurtosis,,
Tail ratio,0.9584450010269824,0.9429873730526172
Daily value at risk,-0.020801101985853165,-0.021746204675425016
