,0_model,0_baseline
Annual return,0.35501874490656316,0.21790761166805073
Cumulative returns,0.3780837059020996,0.22843301196818877
Annual volatility,0.15865651723330054,0.13593270465270207
Sharpe ratio,2.0023733256524854,1.524113701719253
Calmar ratio,4.873648408844503,2.6901243268825117
Stability,0.8140488889233074,0.8991467842908712
Max drawdown,-0.07284455404339166,-0.08100280328700496
Omega ratio,1.3829766066639209,1.2920514467542301
Sortino ratio,3.0608960516632524,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1281683520632826,1.0522905740339357
Daily value at risk,-0.018728169379755855,-0.016303780479937965
