,0_model,0_baseline
Annual return,0.2329174709131252,0.11520893817976496
Cumulative returns,9.623196601867676,2.4188909374038987
Annual volatility,0.1688694734952006,0.17653434154786782
Sharpe ratio,1.3254700769943197,0.7066500935593668
Calmar ratio,0.796118576855185,0.31065201374283913
Stability,0.9874706949238354,0.9611266111095068
Max drawdown,-0.292566305679227,-0.370861713695943
Omega ratio,1.2880981447072324,1.1519997155365247
Sortino ratio,1.9251911587578243,0.9916339693949878
Skew,,
Kurtosis,,
Tail ratio,0.9747060765098625,0.9429873730526172
Daily value at risk,-0.02038733451627195,-0.021746204675425016
