,dates,weights
13,2019-10-31,"[0.04153729 0.01952478 0.03938963 0.02935295 0.02769833 0.01654409
 0.01616371 0.04230522 0.02082573 0.0426524  0.01658949 0.0163765
 0.01689125 0.01681133 0.0330235  0.0425963  0.04368393 0.04280856
 0.01668695 0.03283828 0.03029211 0.04305658 0.02081151 0.02528487
 0.01649533 0.01623287 0.02056414 0.04285234 0.03412403 0.01644009
 0.01931568 0.01945663 0.01590751 0.01937343 0.04251237 0.04298022]"
14,2019-11-01,"[0.04094956 0.02004507 0.03947297 0.02871181 0.02717353 0.01623825
 0.01657129 0.042921   0.02092913 0.04320007 0.01663898 0.01685185
 0.01683136 0.01708301 0.03258482 0.04274059 0.0439767  0.04404636
 0.01614496 0.03403501 0.02947287 0.04177089 0.02037016 0.02499065
 0.0158591  0.01605177 0.020556   0.04217471 0.03462732 0.01650075
 0.01929773 0.01926629 0.01794825 0.0189821  0.04217768 0.0428074 ]"
15,2019-11-04,"[0.0411939  0.02002247 0.03925902 0.0287724  0.027267   0.01604622
 0.01648241 0.04327486 0.02063141 0.04311722 0.01681417 0.0164664
 0.01620631 0.01722539 0.03342916 0.04261531 0.04365056 0.04384358
 0.01616968 0.03333057 0.02925199 0.04212317 0.02162237 0.02501469
 0.01607744 0.01633813 0.02169763 0.04099297 0.03442474 0.016517
 0.0193639  0.01912274 0.01666323 0.01970925 0.04234993 0.04291272]"
16,2019-11-05,"[0.04105032 0.01994076 0.03820653 0.02927728 0.02775775 0.01644241
 0.01623283 0.04254983 0.02029078 0.04318952 0.01670522 0.01632821
 0.0182732  0.0168505  0.03264365 0.04254021 0.0429405  0.04277314
 0.01611627 0.03321872 0.03052519 0.04217511 0.02169021 0.02515944
 0.01602516 0.01615651 0.01942975 0.04243178 0.03662151 0.01638083
 0.01904358 0.01921053 0.01678942 0.01958721 0.04220032 0.04324577]"
17,2019-11-06,"[0.04121089 0.01940885 0.04021323 0.02894237 0.02749863 0.01633898
 0.01615748 0.04282312 0.02056923 0.04276295 0.01674667 0.01634348
 0.01658083 0.0168646  0.03301473 0.04182117 0.04339591 0.04358593
 0.01652024 0.03307384 0.03039638 0.04279888 0.0217126  0.02487436
 0.01634259 0.01614377 0.02077875 0.04316798 0.03354337 0.01643143
 0.01947133 0.01918651 0.01598115 0.01955951 0.04256347 0.04317481]"
18,2019-11-07,"[0.04119828 0.01970427 0.04013496 0.02677732 0.02761327 0.01653858
 0.01630616 0.04266441 0.02086888 0.04281811 0.0164506  0.01639611
 0.01659559 0.01674677 0.03305081 0.04233174 0.04372274 0.04329959
 0.01624284 0.03318453 0.02990354 0.04197349 0.02221779 0.02537799
 0.01620485 0.01638176 0.02047132 0.04240089 0.03456872 0.01652041
 0.01924677 0.01923438 0.01643521 0.01969699 0.04352362 0.04319667]"
19,2019-11-08,"[0.04104339 0.01969989 0.03953881 0.02947497 0.02749968 0.0164721
 0.01613236 0.0427925  0.02128205 0.04196687 0.01678719 0.01630208
 0.01672594 0.01692718 0.03279624 0.04211723 0.04298149 0.04384001
 0.01630851 0.03305838 0.03004332 0.04219157 0.021824   0.02565448
 0.01634946 0.01604366 0.02025401 0.04251271 0.03585855 0.01615373
 0.01936056 0.01904788 0.01645394 0.01958136 0.04243687 0.04248708]"
20,2019-11-11,"[0.04125163 0.01960031 0.03975041 0.0294239  0.02755037 0.01640296
 0.01620099 0.04315494 0.02044541 0.04244142 0.01681113 0.01631448
 0.0169014  0.01683908 0.03288233 0.04223863 0.04278161 0.04355293
 0.01630514 0.03322378 0.02996203 0.04247451 0.02197739 0.02506174
 0.01623697 0.01627862 0.0201824  0.04257154 0.03466342 0.01647519
 0.01932223 0.0191694  0.016479   0.02013455 0.04209301 0.04284525]"
21,2019-11-12,"[0.04116229 0.01976452 0.04020709 0.02878915 0.02734407 0.01633903
 0.01594278 0.04281555 0.02086152 0.04241367 0.01663766 0.01641692
 0.01655495 0.01694854 0.03268179 0.04282396 0.04346823 0.04340207
 0.0163454  0.03317153 0.03014748 0.04254621 0.02187206 0.02522405
 0.01642662 0.01610157 0.02048038 0.04259001 0.0347497  0.01621054
 0.01903518 0.01903664 0.01635938 0.01953193 0.04267212 0.0429254 ]"
22,2019-11-13,"[0.04098988 0.01972073 0.039949   0.02871812 0.02729934 0.01626957
 0.0159518  0.04233014 0.0220053  0.04300634 0.01645202 0.01593054
 0.01675075 0.01676613 0.03245453 0.0423821  0.04242991 0.04370473
 0.01654141 0.03348529 0.03018798 0.04265996 0.02232141 0.02519797
 0.01633158 0.01645752 0.02021527 0.04292585 0.03418119 0.01638305
 0.01900622 0.01905407 0.01675782 0.01977332 0.04202318 0.043386  ]"
