,0_model,0_baseline
Annual return,0.1852710742887662,0.11520893817976496
Cumulative returns,5.809031009674072,2.4188909374038987
Annual volatility,0.16981492868318393,0.17653434154786782
Sharpe ratio,1.086670186644122,0.7066500935593668
Calmar ratio,0.5882327452770109,0.31065201374283913
Stability,0.9818992401073463,0.9611266111095068
Max drawdown,-0.3149621910312359,-0.370861713695943
Omega ratio,1.241539451018368,1.1519997155365247
Sortino ratio,1.5655026939695462,0.9916339693949878
Skew,,
Kurtosis,,
Tail ratio,0.9385110932060046,0.9429873730526172
Daily value at risk,-0.020662397670093924,-0.021746204675425016
