,0_model,0_baseline
Annual return,0.23327975847176674,0.21790761166805073
Cumulative returns,0.24772989749908447,0.22843301196818877
Annual volatility,0.14378232644391106,0.13593270465270207
Sharpe ratio,1.5361305991296124,1.524113701719253
Calmar ratio,3.1397532460935045,2.6901243268825117
Stability,0.9279779904649437,0.8991467842908715
Max drawdown,-0.07429875540761507,-0.08100280328700496
Omega ratio,1.287213825769204,1.2920514467542301
Sortino ratio,2.234501841804582,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.0262930414070877,1.0522905740339357
Daily value at risk,-0.017238408385310322,-0.016303780479937965
