,0_model,0_baseline
Annual return,1.1638179427464617,0.21790761166805073
Cumulative returns,1.258624792098999,0.22843301196818877
Annual volatility,0.3016535171075402,0.13593270465270207
Sharpe ratio,2.721235399189542,1.524113701719253
Calmar ratio,7.80584110127257,2.6901243268825117
Stability,0.815633827683579,0.8991467842908712
Max drawdown,-0.14909577682240122,-0.08100280328700496
Omega ratio,1.5712030068752818,1.2920514467542301
Sortino ratio,4.8268559124377886,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.2885024482781453,1.0522905740339357
Daily value at risk,-0.03474734933115542,-0.016303780479937965
