,0_model,0_baseline
Annual return,0.1694145592082541,-0.07402860635429542
Cumulative returns,0.11897051334381104,-0.05287735556561035
Annual volatility,0.36521548624053823,0.41850228875658096
Sharpe ratio,0.6139485106479624,0.02537062372789874
Calmar ratio,0.579063423151937,-0.19961242592701
Stability,0.0006278672647528086,0.276799745032494
Max drawdown,-0.29256650037763204,-0.37086171369594306
Omega ratio,1.141199508461488,1.0054871502953882
Sortino ratio,0.8606163644159492,0.034625576171365004
Skew,,
Kurtosis,,
Tail ratio,1.0222342663758988,0.8529963352977709
Daily value at risk,-0.04512305045500398,-0.05268419875332445
