,0_model,0_baseline
Annual return,0.8033012782041085,0.21790761166805073
Cumulative returns,0.863349437713623,0.22843301196818877
Annual volatility,0.28933912221514835,0.13593270465270207
Sharpe ratio,2.1909324555706493,1.524113701719253
Calmar ratio,5.423598883727258,2.6901243268825117
Stability,0.8042441623953239,0.8991467842908715
Max drawdown,-0.14811222131752783,-0.08100280328700496
Omega ratio,1.4389476442685845,1.2920514467542301
Sortino ratio,3.657038140435617,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1699600019488823,1.0522905740339357
Daily value at risk,-0.03393773757852614,-0.016303780479937965
