,0_model,0_baseline
Annual return,0.1515722339689578,-0.07402860635429542
Cumulative returns,0.1066814661026001,-0.05287735556561035
Annual volatility,0.36698691000463185,0.41850228875658096
Sharpe ratio,0.5706334395506786,0.02537062372789874
Calmar ratio,0.4887745140574687,-0.19961242592701
Stability,0.0012483136371128334,0.276799745032494
Max drawdown,-0.3101066639312057,-0.37086171369594306
Omega ratio,1.1290088232409294,1.0054871502953882
Sortino ratio,0.7929200100608511,0.034625576171365004
Skew,,
Kurtosis,,
Tail ratio,0.943871565177309,0.8529963352977709
Daily value at risk,-0.04540499276481569,-0.05268419875332445
