,0_model,0_baseline
Annual return,0.3186247023623756,0.21790761166805073
Cumulative returns,0.3390432596206665,0.22843301196818877
Annual volatility,0.1932122316690083,0.13593270465270207
Sharpe ratio,1.5340140705890528,1.524113701719253
Calmar ratio,2.0411732286366298,2.6901243268825117
Stability,0.6059037164525098,0.8991467842908712
Max drawdown,-0.1560988052813117,-0.08100280328700496
Omega ratio,1.2785412781596714,1.2920514467542301
Sortino ratio,2.3034193073028493,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.0311763666905922,1.0522905740339357
Daily value at risk,-0.02316630119457841,-0.016303780479937965
