,0_model,0_baseline
Annual return,0.23202737759194303,0.21790761166805073
Cumulative returns,0.24639248847961426,0.22843301196818877
Annual volatility,0.12499096475018817,0.13593270465270207
Sharpe ratio,1.73874048654262,1.524113701719253
Calmar ratio,3.6268438082814263,2.6901243268825117
Stability,0.8778561420647764,0.8991467842908715
Max drawdown,-0.06397501239566443,-0.08100280328700496
Omega ratio,1.3296721381106107,1.2920514467542301
Sortino ratio,2.583854175025645,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.0754163043034148,1.0522905740339357
Daily value at risk,-0.014884973235893995,-0.016303780479937965
