,0_model,0_baseline
Annual return,0.1739472811188143,0.11520893817976496
Cumulative returns,5.10990047454834,2.4188909374038987
Annual volatility,0.21256090186572135,0.17653434154786782
Sharpe ratio,0.8616691903143536,0.7066500935593668
Calmar ratio,0.4345312334364105,0.31065201374283913
Stability,0.9448210467311685,0.9611266111095068
Max drawdown,-0.4003101911528526,-0.370861713695943
Omega ratio,1.174293866677132,1.1519997155365247
Sortino ratio,1.2131485020812753,0.9916339693949878
Skew,,
Kurtosis,,
Tail ratio,0.9577242106227948,0.9429873730526172
Daily value at risk,-0.026053342211525887,-0.021746204675425016
