,0_model,0_baseline
Annual return,0.05589821077031942,0.21790761166805073
Cumulative returns,0.05909371376037598,0.22843301196818877
Annual volatility,0.20715418442347242,0.13593270465270207
Sharpe ratio,0.3664647800093384,1.524113701719253
Calmar ratio,1.3693692216409763,2.6901243268825117
Stability,0.7607471132796592,0.8991467842908715
Max drawdown,-0.04082040832152931,-0.08100280328700496
Omega ratio,1.0647667768646596,1.2920514467542301
Sortino ratio,0.5537601486369841,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1174781320618028,1.0522905740339357
Daily value at risk,-0.025797725189477205,-0.016303780479937965
