,0_model,0_baseline
Annual return,0.26570618419402536,0.21790761166805073
Cumulative returns,0.28238391876220703,0.22843301196818877
Annual volatility,0.15732392069187653,0.13593270465270207
Sharpe ratio,1.58257664387352,1.524113701719253
Calmar ratio,3.2077500929943477,2.6901243268825117
Stability,0.9314942273196525,0.8991467842908715
Max drawdown,-0.08283257002293339,-0.08100280328700496
Omega ratio,1.3009699611131684,1.2920514467542301
Sortino ratio,2.3064629144794244,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.050689277865997,1.0522905740339357
Daily value at risk,-0.018832946312613785,-0.016303780479937965
