,0_model,0_baseline
Annual return,0.084466769622775,0.21790761166805073
Cumulative returns,0.0893632173538208,0.22843301196818877
Annual volatility,0.2561255106177508,0.13593270465270207
Sharpe ratio,0.444861101092147,1.524113701719253
Calmar ratio,1.291930835172216,2.6901243268825117
Stability,0.8876504861342286,0.8991467842908715
Max drawdown,-0.06538025668496059,-0.08100280328700496
Omega ratio,1.0750259250294987,1.2920514467542301
Sortino ratio,0.6846421278914799,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1400893362507676,1.0522905740339357
Daily value at risk,-0.03181663725990802,-0.016303780479937965
