,0_model,0_baseline
Annual return,0.21320877475599276,0.21790761166805073
Cumulative returns,0.22630536556243896,0.22843301196818877
Annual volatility,0.13826613135245155,0.13593270465270207
Sharpe ratio,1.4725335550786038,1.524113701719253
Calmar ratio,2.9390892918937617,2.6901243268825117
Stability,0.8432952984498414,0.8991467842908715
Max drawdown,-0.07254246250498045,-0.08100280328700496
Omega ratio,1.2784354208898692,1.2920514467542301
Sortino ratio,2.198273229121472,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.0690956780671457,1.0522905740339357
Daily value at risk,-0.016611952625680715,-0.016303780479937965
