,0_model,0_baseline
Annual return,0.2760206248331991,0.21790761166805073
Cumulative returns,0.2934173345565796,0.22843301196818877
Annual volatility,0.14510552017846162,0.13593270465270207
Sharpe ratio,1.7591650956214784,1.524113701719253
Calmar ratio,4.149677361582514,2.6901243268825117
Stability,0.8491705784873902,0.8991467842908715
Max drawdown,-0.06651616518155917,-0.08100280328700496
Omega ratio,1.3286709632595333,1.2920514467542301
Sortino ratio,2.7199063113782533,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.2076563725244827,1.0522905740339357
Daily value at risk,-0.01726862252689898,-0.016303780479937965
