,0_model,0_baseline
Annual return,0.3766758191530246,0.21790761166805073
Cumulative returns,0.40134334564208984,0.22843301196818877
Annual volatility,0.16105820995937878,0.13593270465270207
Sharpe ratio,2.0738222595250617,1.524113701719253
Calmar ratio,4.918106401270175,2.6901243268825117
Stability,0.811703025921541,0.8991467842908715
Max drawdown,-0.07658960348148271,-0.08100280328700496
Omega ratio,1.3992839307917213,1.2920514467542301
Sortino ratio,3.1905490300635804,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.1761104392498871,1.0522905740339357
Daily value at risk,-0.018966006115078926,-0.016303780479937965
