,dates,weights
56,2020-12-02,"[0.10606345 0.09061858 0.18197529 0.18577619 0.15915485 0.09317615
 0.1832355 ]"
57,2020-12-03,"[0.10491976 0.08660273 0.1806871  0.19448802 0.15577349 0.09195629
 0.18557256]"
58,2020-12-04,"[0.10751344 0.08841632 0.18615714 0.17405428 0.16009454 0.09386554
 0.18989877]"
59,2020-12-07,"[0.10572609 0.08737172 0.18056281 0.19205147 0.15575267 0.09252755
 0.18600775]"
60,2020-12-08,"[0.10820313 0.08994179 0.18664712 0.17223093 0.15970235 0.09343851
 0.18983616]"
61,2020-12-09,"[0.10544144 0.08624263 0.17877574 0.20223601 0.15476005 0.09064646
 0.18189766]"
62,2020-12-10,"[0.10700136 0.08703946 0.18446335 0.1803161  0.15865766 0.09412888
 0.18839324]"
63,2020-12-11,"[0.10606142 0.0853089  0.18042924 0.19668613 0.15431538 0.09162575
 0.18557328]"
64,2020-12-14,"[0.10714124 0.08599532 0.18549763 0.18133323 0.15707831 0.0935702
 0.18938412]"
65,2020-12-15,"[0.10482024 0.09009714 0.18182924 0.18707688 0.15879215 0.09241981
 0.18496454]"
66,2020-12-16,"[0.10422072 0.08414856 0.17902213 0.20434317 0.1528337  0.09021193
 0.18521988]"
67,2020-12-17,"[0.10863481 0.08961138 0.18873961 0.16562779 0.15934299 0.09549554
 0.19254786]"
68,2020-12-18,"[0.10654855 0.08744367 0.183447   0.18459843 0.15760803 0.09304564
 0.18730871]"
69,2020-12-21,"[0.10536684 0.0851176  0.17904498 0.20031625 0.15611686 0.0901841
 0.1838534 ]"
70,2020-12-22,"[0.10693992 0.08660929 0.18428852 0.18433775 0.15545909 0.09348963
 0.18887576]"
71,2020-12-23,"[0.10619583 0.08851069 0.18084371 0.18922032 0.15834327 0.09210689
 0.18477936]"
72,2020-12-24,"[0.1053051  0.08607659 0.18156567 0.1946406  0.15470332 0.09148429
 0.18622442]"
73,2020-12-28,"[0.11005307 0.09135644 0.18744406 0.15987873 0.16250916 0.09625973
 0.19249879]"
74,2020-12-29,"[0.10364282 0.08317    0.17783912 0.20925488 0.15260942 0.0912128
 0.18227094]"
75,2020-12-30,"[0.10520918 0.08663952 0.18130343 0.19284448 0.15742071 0.09196789
 0.18461475]"
76,2020-12-31,"[0.11090846 0.09155    0.19254677 0.14989479 0.1636232  0.09614578
 0.19533098]"
77,2021-01-04,"[0.10218935 0.08001725 0.17102578 0.23392536 0.1476636  0.08694135
 0.1782373 ]"
78,2021-01-05,"[0.10878921 0.09198799 0.19091642 0.15709808 0.16433457 0.09585328
 0.19102049]"
79,2021-01-06,"[0.10565613 0.08804894 0.17982632 0.1933487  0.15903072 0.09175253
 0.18233666]"
80,2021-01-07,"[0.1012639  0.08460807 0.17951758 0.21413864 0.15065017 0.08899982
 0.18082178]"
81,2021-01-08,"[0.11131167 0.09001672 0.19286856 0.1404562  0.16604932 0.10069052
 0.198607  ]"
82,2021-01-11,"[0.10467036 0.08454756 0.1763312  0.21105526 0.15268178 0.08935502
 0.18135881]"
83,2021-01-12,"[0.10691378 0.08953396 0.18327825 0.17951639 0.16012275 0.09279772
 0.18783717]"
84,2021-01-13,"[0.10302405 0.08294656 0.17779884 0.2165887  0.15091293 0.08927242
 0.17945649]"
85,2021-01-14,"[0.10899281 0.09374724 0.1892881  0.15825117 0.16248494 0.09569921
 0.19153649]"
86,2021-01-15,"[0.10546489 0.08450736 0.181219   0.20333008 0.15234017 0.08992904
 0.18320942]"
87,2021-01-19,"[0.10802682 0.08971998 0.18599041 0.16598712 0.16187172 0.0967107
 0.19169328]"
88,2021-01-20,"[0.09775101 0.08007052 0.17042896 0.24792665 0.14413916 0.08538897
 0.17429471]"
89,2021-01-21,"[0.11348283 0.09137099 0.19218951 0.1408326  0.16548929 0.09599325
 0.20064153]"
90,2021-01-22,"[0.10469396 0.08644479 0.17887    0.20333411 0.15311842 0.0912484
 0.18229029]"
91,2021-01-25,"[0.10490751 0.08582082 0.1829672  0.20018508 0.15338695 0.08920845
 0.18352407]"
92,2021-01-26,"[0.10780279 0.08850871 0.18259262 0.18178679 0.15782812 0.09268972
 0.18879125]"
93,2021-01-27,"[0.10776329 0.0968583  0.1792535  0.1918199  0.1516741  0.08964007
 0.1829908 ]"
94,2021-01-28,"[0.10859615 0.0803717  0.19051068 0.15793847 0.16596244 0.10151471
 0.19510588]"
95,2021-01-29,"[0.10392881 0.08865149 0.17525561 0.2201345  0.14907478 0.08489406
 0.17806076]"
96,2021-02-01,"[0.10614635 0.08172061 0.18650258 0.1783999  0.1593119  0.09636736
 0.19155124]"
97,2021-02-02,"[0.10343956 0.08533391 0.17748065 0.20073536 0.1579801  0.09086941
 0.18416099]"
98,2021-02-03,"[0.11209652 0.09211051 0.18798892 0.15498917 0.16429491 0.09522528
 0.19329469]"
99,2021-02-04,"[0.1000578  0.08310432 0.18172283 0.21636134 0.14981425 0.08922668
 0.17971273]"
100,2021-02-05,"[0.10781272 0.08955764 0.18295807 0.17769966 0.1592213  0.09400354
 0.18874712]"
