,0_model,0_baseline
Annual return,0.3460661002636336,0.21790761166805073
Cumulative returns,0.3684746026992798,0.22843301196818877
Annual volatility,0.18370917254176652,0.13593270465270207
Sharpe ratio,1.71593476266587,1.524113701719253
Calmar ratio,3.335964060799662,2.6901243268825117
Stability,0.6952011909128692,0.8991467842908715
Max drawdown,-0.10373795819031645,-0.08100280328700496
Omega ratio,1.324943955617184,1.2920514467542301
Sortino ratio,2.774306714622952,2.250441202114476
Skew,,
Kurtosis,,
Tail ratio,1.201835211838804,1.0522905740339357
Daily value at risk,-0.02189425576943904,-0.016303780479937965
